id,abbr,name
209,I,"intercalated nuclei of the amygdala"
210,IAD,"interanterodorsal thalamic nucleus"
211,IAM,"interanteromedial thalamic nucleus"
212,IB,"interstitial nucleus of the medulla"
213,ICj,"islands of Calleja"
214,ICjM,"islands of Calleja, major island"
215,IEn,"intermediate endopiriform nucleus"
216,IF,"interfascicular nucleus"
217,IG,"indusium griseum"
218,IL,"infralimbic cortex"
219,IM,"intercalated amygdaloid nucleus, main part"
220,IMD,"intermediodorsal thalamic nucleus"
221,IMG,"amygdaloid intramedullary gray"
222,INLL,"intermediate nucleus of the lateral lemniscus"
223,IOA,"inferior olive, subnucleus A of medial nucleus"
224,IOB,"inferior olive, subnucleus B of medial nucleus"
225,IOBe,"inferior olive, beta subnucleus"
226,IOC,"inferior olive, subnucleus C of medial nucleus"
227,IOD,"inferior olive, dorsal nucleus"
228,IODM,"inferior olive, dorsomedial cell group"
229,IOK,"inferior olive, cap of Kooy of the medial nucleus"
230,IOM,"inferior olive, medial nucleus"
231,IOPr,"inferior olive, principal nucleus"
232,IPAC,"interstitial nucleus of the posterior limb of the anterior commissure"
233,IPC,"interpeduncular nucleus, caudal subnucleus"
234,IPD,"interpeduncular nucleus, dorsal subnucleus"
235,IPI,"interpeduncular nucleus, intermediate subnucleus"
236,IPL,"interpeduncular nucleus, lateral subnucleus"
237,IPR,"interpeduncular nucleus, rostral subnucleus"
238,IPl,"internal plexiform layer of the olfactory bulb"
239,IRt,"intermediate reticular nucleus"
240,IVF,"interventricular foramen"
241,InC,"interstitial nucleus of Cajal"
242,InG,"intermediate gray layer of the superior colliculus"
243,InWh,"intermediate white layer of the superior colliculus"
244,IntA,"interposed cerebellar nucleus, anterior part"
245,IntDL,"interposed cerebellar nucleus, dorsolateral hump"
246,IntDM,"interposed cerebellar nucleus, dorsomedial crest"
247,IntP,"interposed cerebellar nucleus, posterior part"
248,IntPPC,"interposed cerebellar nucleus, posterior parvicellular part"
249,KF,"Kölliker–Fuse nucleus"
250,LA,"lateroanterior hypothalamic nucleus"
251,LAcbSh,"lateral accumbens shell"
252,LC,"locus coeruleus"
253,LDDM,"laterodorsal thalamic nucleus, dorsomedial part"
254,LDTg,"laterodorsal tegmental nucleus"
255,LDTgV,"laterodorsal tegmental nucleus, ventral part"
256,LDVL,"laterodorsal thalamic nucleus, ventrolateral part"
257,LEnt,"lateral entorhinal cortex"
258,LHb,"lateral habenular nucleus"
259,LHbL,"lateral habenular nucleus, lateral part"
260,LHbM,"lateral habenular nucleus, medial part"
261,LM,"lateral mammillary nucleus"
262,LMol,"lacunosum moleculare layer of the hippocampus"
263,LNTB,"lateral nucleus of the trapezoid body"
264,LO,"lateral orbital cortex"
265,LOT,"nucleus of the lateral olfactory tract"
266,LPAG,"lateral periaqueductal gray"
267,LPB,"lateral parabrachial nucleus"
268,LPBC,"lateral parabrachial nucleus, central part"
269,LPBCr,"lateral parabrachial nucleus, crescent part"
270,LPBI,"lateral parabrachial nucleus, internal part"
271,LPGi,"lateral paragigantocellular nucleus"
272,LPGiA,"lateral paragigantocellular nucleus, alpha part"
273,LPGiE,"lateral paragigantocellular nucleus, external part"
274,LPLC,"lateral posterior thalamic nucleus, laterocaudal part"
275,LPLR,"lateral posterior thalamic nucleus, laterorostral part"
276,LPMC,"lateral posterior thalamic nucleus, mediocaudal part"
277,LPMR,"lateral posterior thalamic nucleus, mediorostral part"
278,LPO,"lateral preoptic area"
279,LPtA,"lateral parietal association cortex"
280,LR4V,"lateral recess of the 4th ventricle"
281,LRt,"lateral reticular nucleus"
282,LRtPC,"lateral reticular nucleus, parvicellular part"
283,LRtS5,"lateral reticular nucleus, subtrigeminal part"
284,LSD,"lateral septal nucleus, dorsal part"
285,LSI,"lateral septal nucleus, intermediate part"
286,LSO,"lateral superior olive"
287,LSS,"lateral stripe of the striatum"
288,LSV,"lateral septal nucleus, ventral part"
289,LT,"lateral terminal nucleus of the accessory optic tract"
290,LTer,"lemina terminalis"
291,LV,"lateral ventricle"
292,LVPO,"lateroventral periolivary nucleus"
293,LVe,"lateral vestibular nucleus"
294,La,"lateral amygdaloid nucleus"
295,LaD,"lateral amygdaloid nucleus, dorsal part"
296,LaV,"lateral amygdaloid nucleus, ventral part"
297,Lat,"lateral (dentate) cerebellar nucleus"
298,LatPC,"lateral cerebellar nucleus, parvicellular part"
299,Ld,"lambdoid septal zone"
300,Li,"linear nucleus of the medulla"
301,Lth,"lithoid nucleus"
302,M1,"primary motor cortex"
303,M2,"secondary motor cortex"
304,MA3,"medial accessory oculomotor nucleus"
305,MCLH,"magnocellular nucleus of the lateral hypothalamus"
306,MCPC,"magnocellular nucleus of the posterior commissure"
307,MCPO,"magnocellular preoptic nucleus"
308,MD,"mediodorsal thalamic nucleus"
309,MDC,"mediodorsal thalamic nucleus, central part"
310,MDL,"mediodorsal thalamic nucleus, lateral part"
311,MDM,"mediodorsal thalamic nucleus, medial part"
312,ME,"median eminence"
313,MEnt,"medial entorhinal cortex"
314,MGD,"medial geniculate nucleus, dorsal part"
315,MGM,"medial geniculate nucleus, medial part"
316,MGV,"medial geniculate nucleus, ventral part"
317,MHb,"medial habenular nucleus"
318,ML,"medial mammillary nucleus, lateral part"
319,MM,"medial mammillary nucleus, medial part"
320,MNTB,"medial nucleus of the trapezoid body"
321,MO,"medial orbital cortex"
322,MPA,"medial preoptic area"
323,MPB,"medial parabrachial nucleus"
324,MPBE,"medial parabrachial nucleus, external part"
325,MPL,"paralemniscal nucleus, medial part"
326,MPO,"medial preoptic nucleus"
327,MPT,"medial pretectal nucleus"
328,MPtA,"medial parietal association cortex"
329,MRe,"mammillary recess of the 3rd ventricle"
330,MS,"medial septal nucleus"
331,MSO,"medial superior olive"
332,MT,"medial terminal nucleus of the accessory optic tract"
333,MTu,"medial tuberal nucleus"
334,MVPO,"medioventral periolivary nucleus"
335,MVe,"medial vestibular nucleus"
336,MVeMC,"medial vestibular nucleus, magnocellular part"
337,MVePC,"medial vestibular nucleus, parvicellular part"
338,MZMG,"marginal zone of the medial geniculate"
339,MdD,"medullary reticular nucleus, dorsal part"
340,MdV,"medullary reticular nucleus, ventral part"
341,Me5,"mesencephalic trigeminal nucleus"
342,MeAD,"medial amygdaloid nucleus, anterodorsal part"
343,MeAV,"medial amygdaloid nucleus, anteroventral part"
344,MePD,"medial amygdaloid nucleus, posterodorsal part"
345,MePV,"medial amygdaloid nucleus, posteroventral part"
346,Med,"medial (fastigial) cerebellar nucleus"
347,MedDL,"medial cerebellar nucleus, dorsolateral protuberance"
348,MedL,"medial cerebellar nucleus, lateral part"
349,Mi,"mitral cell layer of the olfactory bulb"
350,MiA,"mitral cell layer of the accessory olfactory bulb"
351,MiTg,"microcellular tegmental nucleus"
352,MnA,"median accessory nucleus of the medulla"
353,MnM,"medial mammillary nucleus, median part"
354,MnPO,"median preoptic nucleus"
355,MnR,"median raphe nucleus"
356,MoDG,"molecular layer of the dentate gyrus"
357,MoS,"molecular layer of the subiculum"
358,Mx,"matrix region of the medulla"
359,Nv,"navicular nucleus of the basal forebrain"
360,ON,"olfactory nerve layer"
361,OPC,"oval paracentral thalamic nucleus"
362,OPT,"olivary pretectal nucleus"
363,OT,"nucleus of the optic tract"
364,OV,"olfactory ventricle (olfactory part of lateral ventricle)"
365,Obex,"obex"
366,Oca,"octopus cell area, ventral cochlear nucleus"
367,Op,"optic nerve layer of the superior colliculus"
368,Or,"oriens layer of the hippocampus"
369,P5,"peritrigeminal zone"
370,P7,"perifacial zone"
371,PBG,"parabigeminal nucleus"
372,PBP,"parabrachial pigmented nucleus of the ventral tegmental area"
373,PC,"paracentral thalamic nucleus"
374,PCGS,"paracochlear glial substance"
375,PCRt,"parvicellular reticular nucleus"
376,PCom,"nucleus of the posterior commissure"
377,PDR,"posterodorsal raphe nucleus"
378,PDTg,"posterodorsal tegmental nucleus"
379,PF,"parafascicular thalamic nucleus"
380,PFl,"paraflocculus"
381,PH,"posterior hypothalamic nucleus"
382,PHA,"posterior hypothalamic area"
383,PHD,"posterior hypothalamic area, dorsal part"
384,PIF,"parainterfascicular nucleus of the ventral tegmental area"
385,PIL,"posterior intralaminar thalamic nucleus"
386,PL,"paralemniscal nucleus"
387,PLCo,"posterolateral cortical amygdaloid nucleus"
388,PLH,"peduncular part of lateral hypothalamus"
389,PLV,"perilemniscal nucleus, ventral part"
390,PLi,"posterior limitans thalamic nucleus"
391,PM,"paramedian lobule"
392,PMCo,"posteromedial cortical amygdaloid nucleus"
393,PMD,"premammillary nucleus, dorsal part"
394,PMV,"premammillary nucleus, ventral part"
395,PMnR,"paramedian raphe nucleus"
396,PN,"paranigral nucleus of the ventral tegmental area"
397,PP,"peripeduncular nucleus"
398,PPT,"posterior pretectal nucleus"
399,PPy,"parapyramidal nucleus"
400,PR,"prerubral field"
401,PRh,"perirhinal cortex"
402,PS,"parastrial nucleus"
403,PSTh,"parasubthalamic nucleus"
404,PSol,"parasolitary nucleus"
405,PT,"paratenial thalamic nucleus"
406,PTe,"paraterete nucleus"
407,PTg,"pedunculopontine tegmental nucleus"
408,PV,"paraventricular thalamic nucleus"
409,PVA,"paraventricular thalamic nucleus, anterior part"
410,PVP,"paraventricular thalamic nucleus, posterior part"
411,Pa4,"paratrochlear nucleus"
412,Pa5,"paratrigeminal nucleus"
413,Pa6,"paraabducens nucleus"
414,PaAP,"paraventricular hypothalamic nucleus, anterior parvicellular part"
415,PaMM,"paraventricular hypothalamic nucleus, medial magnocellular part"
416,PaMP,"paraventricular hypothalamic nucleus, medial parvicellular part"
417,PaPo,"paraventricular hypothalamic nucleus, posterior part"
418,PaR,"pararubral nucleus"
419,PaS,"parasubiculum"
420,PaV,"paraventricular hypothalamic nucleus, ventral part"
421,PaXi,"paraxiphoid nucleus of thalamus"
422,Pe,"periventricular hypothalamic nucleus"
423,PeF,"perifornical nucleus"
424,PeFLH,"perifornical part of lateral hypothalamus"
425,Pir,"piriform cortex"
426,Pn,"pontine nuclei"
427,PnC,"pontine reticular nucleus, caudal part"
428,PnO,"pontine reticular nucleus, oral part"
429,PnR,"pontine raphe nucleus"
430,PnV,"pontine reticular nucleus, ventral part"
431,Po,"posterior thalamic nuclear group"
432,PoDG,"polymorph layer of the dentate gyrus"
433,PoMn,"posteromedian thalamic nucleus"
434,PoT,"posterior thalamic nuclear group, triangular part"
435,Post,"postsubiculum"
436,Pr,"prepositus nucleus"
437,Pr5DM,"principal sensory trigeminal nucleus, dorsomedial part"
438,Pr5VL,"principal sensory trigeminal nucleus, ventrolateral part"
439,PrC,"precommissural nucleus"
440,PrCnF,"precuneiform area"
441,PrEW,"pre-Edinger–Westphal nucleus"
442,PrL,"prelimbic cortex"
443,PrS,"presubiculum"
444,PtP,"parietal cortex, posterior area"
445,Pta,"pericollicular tegmental area"
446,Py,"pyramidal cell layer of the hippocampus"
447,RAPir,"rostral amygdalopiriform area"
448,RAmb,"retroambiguus nucleus"
449,RCh,"retrochiasmatic area"
450,RChL,"retrochiasmatic area, lateral part"
451,REth,"retroethmoid nucleus"
452,RI,"rostral interstitial nucleus of medial longitudinal fasciculus"
453,RIP,"raphe interpositus nucleus"
454,RLi,"rostral linear nucleus of the raphe"
455,RMC,"red nucleus, magnocellular part"
456,RMg,"raphe magnus nucleus"
457,ROb,"raphe obscurus nucleus"
458,RPC,"red nucleus, parvicellular part"
459,RPO,"rostral periolivary nucleus"
460,RPa,"raphe pallidus nucleus"
461,RR,"retrorubral nucleus"
462,RRF,"retrorubral field"
463,RRe,"retrouniens area"
464,RSD,"retrosplenial dysgranular cortex"
465,RSGa,"retrosplenial granular cortex, a region"
466,RSGb,"retrosplenial granular cortex, b region"
467,RSGc,"retrosplenial granular cortex, c region"
468,RVRG,"rostral ventral respiratory group"
469,Rad,"radiatum layer of the hippocampus"
470,Rbd,"rhabdoid nucleus"
471,Re,"reuniens thalamic nucleus"
472,Rh,"rhomboid thalamic nucleus"
473,Ro,"nucleus of Roller"
474,Rt,"reticular thalamic nucleus"
475,RtSt,"reticluostrial nucleus"
476,RtTg,"reticulotegmental nucleus of the pons"
477,RtTgP,"reticulotegmental nucleus of the pons, pericentral part"
478,S1,"primary somatosensory cortex"
479,S1BF,"primary somatosensory cortex, barrel field"
480,S1DZ,"primary somatosensory cortex, dysgranular zone"
481,S1DZO,"primary somatosensory cortex, oral dysgranular zone"
482,S1FL,"primary somatosensory cortex, forelimb region"
483,S1HL,"primary somatosensory cortex, hindlimb region"
484,S1J,"primary somatosensory cortex, jaw region"
485,S1Sh,"primary somatosensory cortex, shoulder region"
486,S1Tr,"primary somatosensory cortex, trunk region"
487,S1ULp,"primary somatosensory cortex, upper lip region"
