abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
dsc,dorsal spinocerebellar tract,52,62,11,-10.05,-13.55,cerebellum;fiber_tract,52 53 54 55 56 57 58 59 60 61 62
DTg,dorsal tegmental nucleus,44,44,1,-7.25,-7.25,midbrain,44
DTgC,"dorsal tegmental nucleus, central part",43,43,1,-6.9,-6.9,midbrain,43
DTgP,"dorsal tegmental nucleus, pericentral part",43,43,1,-6.9,-6.9,midbrain,43
dtgx,dorsal tegmental decussation,36,37,2,-4.45,-4.8,fiber_tract;midbrain,36 37
Dtr,dorsal transition zone,12,15,4,3.95,2.9,cortex,12 13 14 15
DTT,dorsal tenia tecta,11,18,8,4.3,1.85,cortex;olfactory,11 12 13 14 15 16 17 18
dVNLL,"ventral nucleus of the lateral lemniscus, dorsal part",41,42,2,-6.2,-6.55,auditory;fiber_tract,41 42
E,ependyma and subependymal layer,1,23,23,7.8,0.1,ventricular,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
EA,sublenticular extended amygdala,26,26,1,-0.95,-0.95,amygdala,26
EAC,"sublenticular extended amygdala, central part",25,25,1,-0.6,-0.6,amygdala,25
ec,external capsule,19,30,12,1.5,-2.35,fiber_tract,19 20 21 22 23 24 25 26 27 28 29 30
ECIC,external cortex of the inferior colliculus,38,44,7,-5.15,-7.25,auditory;cortex;midbrain,38 39 40 41 42 43 44
Ect,ectorhinal cortex,28,42,15,-1.65,-6.55,cortex;hippocampal,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
ECu,external cuneate nucleus,52,56,5,-10.05,-11.45,somatosensory,52 53 54 55 56
eml,external medullary lamina,28,30,3,-1.65,-2.35,brainstem;thalamus,28 29 30
Ent,entorhinal cortex,42,42,1,-6.55,-6.55,cortex;hippocampal,42
EP,entopeduncular nucleus,27,28,2,-1.3,-1.65,motor,27 28
EPl,external plexiform layer of the olfactory bulb,1,9,9,7.8,5.0,olfactory,1 2 3 4 5 6 7 8 9
EPlA,external plexiform layer of the accessory olfactory bulb,5,9,5,6.4,5.0,olfactory,5 6 7 8 9
Eth,ethmoid thalamic nucleus,32,32,1,-3.05,-3.05,thalamus,32
EVe,nucleus of origin of efferents of the vestibular nerve,47,47,1,-8.3,-8.3,vestibular,47
EW,Edinger–Westphal nucleus,36,38,3,-4.45,-5.15,midbrain,36 37 38
f,fornix,23,32,10,0.1,-3.05,fiber_tract;hippocampal,23 24 25 26 27 28 29 30 31 32
F,nucleus of the fields of Forel,32,34,3,-3.05,-3.75,thalamus,32 33 34
FC,fasciola cinereum,29,33,5,-2.0,-3.4,hippocampal,29 30 31 32 33
fi,fimbria of the hippocampus,22,30,9,0.45,-2.35,fiber_tract;hippocampal,22 23 24 25 26 27 28 29 30
Fl,flocculus,43,48,6,-6.9,-8.65,cerebellum,43 44 45 46 47 48
fmi,forceps minor of the corpus callosum,13,18,6,3.6,1.85,fiber_tract,13 14 15 16 17 18
fmj,forceps major of the corpus callosum,34,39,6,-3.75,-5.5,fiber_tract,34 35 36 37 38 39
fr,fasciculus retroflexus,27,36,10,-1.3,-4.45,fiber_tract,27 28 29 30 31 32 33 34 35 36
Fr3,"frontal cortex, area 3",11,17,7,4.3,2.2,cortex,11 12 13 14 15 16 17
FrA,frontal association cortex,7,9,3,5.7,5.0,cortex,7 8 9
Fu,"bed nucleus of stria terminalis, fusiform part",23,23,1,0.1,0.1,basal_forebrain;fiber_tract,23
FVe,F cell group of the vestibular complex,52,52,1,-10.05,-10.05,vestibular,52
g7,genu of the facial nerve,46,48,3,-7.95,-8.65,fiber_tract;motor,46 47 48
Gca,"globular cell area, ventral cochlear nucleus",46,49,4,-7.95,-9.0,auditory,46 47 48 49
gcc,genu of the corpus callosum,19,19,1,1.5,1.5,fiber_tract,19
Ge5,gelatinous layer of the caudal spinal trigeminal nucleus,57,62,6,-11.8,-13.55,somatosensory,57 58 59 60 61 62
Gi,gigantocellular reticular nucleus,47,54,8,-8.3,-10.75,brainstem,47 48 49 50 51 52 53 54
GI,granular insular cortex,13,27,15,3.6,-1.3,cortex,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
GiA,"gigantocellular reticular nucleus, alpha part",48,51,4,-8.65,-9.7,brainstem,48 49 50 51
GiV,"gigantocellular reticular nucleus, ventral part",51,52,2,-9.7,-10.05,brainstem,51 52
Gl,glomerular layer of the olfactory bulb,1,11,11,7.8,4.3,olfactory,1 2 3 4 5 6 7 8 9 10 11
GlA,glomerular layer of the accessory olfactory bulb,5,10,6,6.4,4.65,olfactory,5 6 7 8 9 10
GP,globus pallidus,24,29,6,-0.25,-2.0,motor,24 25 26 27 28 29
gr,gracile fasciculus,54,62,9,-10.75,-13.55,fiber_tract;somatosensory,54 55 56 57 58 59 60 61 62
Gr,gracile nucleus,54,62,9,-10.75,-13.55,somatosensory,54 55 56 57 58 59 60 61 62
GrA,granule cell layer of the accessory olfactory bulb,3,10,8,7.1,4.65,olfactory,3 4 5 6 7 8 9 10
GrC,granule cell layer of cochlear nuclei,43,50,8,-6.9,-9.35,auditory,43 44 45 46 47 48 49 50
GrDG,granular layer of the dentate gyrus,27,36,10,-1.3,-4.45,hippocampal,27 28 29 30 31 32 33 34 35 36
GrO,granular cell layer of the olfactory bulb,1,10,10,7.8,4.65,olfactory,1 2 3 4 5 6 7 8 9 10
hbc,habenular commissure,31,32,2,-2.7,-3.05,fiber_tract;thalamus,31 32
HDB,nucleus of the horizontal limb of the diagonal band,20,25,6,1.15,-0.6,basal_forebrain,20 21 22 23 24 25
hif,hippocampal fissure,30,34,5,-2.35,-3.75,cerebellum;hippocampal,30 31 32 33 34
I,intercalated nuclei of the amygdala,23,29,7,0.1,-2.0,amygdala,23 24 25 26 27 28 29
IAD,interanterodorsal thalamic nucleus,26,27,2,-0.95,-1.3,thalamus,26 27
IAM,interanteromedial thalamic nucleus,27,27,1,-1.3,-1.3,thalamus,27
IB,interstitial nucleus of the medulla,57,62,6,-11.8,-13.55,brainstem,57 58 59 60 61 62
ic,internal capsule,23,30,8,0.1,-2.35,fiber_tract,23 24 25 26 27 28 29 30
icf,intercrural fissure,49,54,6,-9.0,-10.75,cerebellum,49 50 51 52 53 54
ICj,islands of Calleja,16,22,7,2.55,0.45,basal_forebrain;olfactory,16 17 18 19 20 21 22
ICjM,"islands of Calleja, major island",20,21,2,1.15,0.8,basal_forebrain;olfactory,20 21
icp,inferior cerebellar peduncle (restiform body),46,53,8,-7.95,-10.4,cerebellum;fiber_tract,46 47 48 49 50 51 52 53
IEn,intermediate endopiriform nucleus,12,24,13,3.95,-0.25,olfactory,12 13 14 15 16 17 18 19 20 21 22 23 24
IF,interfascicular nucleus,35,38,4,-4.1,-5.15,midbrain;monoaminergic,35 36 37 38
IG,indusium griseum,18,33,16,1.85,-3.4,cortex;hippocampal,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
IL,infralimbic cortex,14,18,5,3.25,1.85,cortex,14 15 16 17 18
IM,"intercalated amygdaloid nucleus, main part",26,26,1,-0.95,-0.95,amygdala,26
IMD,intermediodorsal thalamic nucleus,28,30,3,-1.65,-2.35,thalamus,28 29 30
IMG,amygdaloid intramedullary gray,27,28,2,-1.3,-1.65,amygdala;brainstem,27 28
iml,internal medullary lamina,26,26,1,-0.95,-0.95,brainstem;thalamus,26
imvc,intermedioventral thalamic commissure,29,30,2,-2.0,-2.35,fiber_tract;thalamus,29 30
