abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
RMC,"red nucleus, magnocellular part",35,38,4,-4.1,-5.15,midbrain;motor,35 36 37 38
RMg,raphe magnus nucleus,44,51,8,-7.25,-9.7,brainstem;monoaminergic,44 45 46 47 48 49 50 51
Ro,nucleus of Roller,52,56,5,-10.05,-11.45,brainstem,52 53 54 55 56
ROb,raphe obscurus nucleus,50,58,9,-9.35,-12.15,brainstem;monoaminergic,50 51 52 53 54 55 56 57 58
RPa,raphe pallidus nucleus,43,58,16,-6.9,-12.15,brainstem;monoaminergic,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
RPC,"red nucleus, parvicellular part",35,36,2,-4.1,-4.45,midbrain;motor,35 36
RPO,rostral periolivary nucleus,44,44,1,-7.25,-7.25,auditory,44
RR,retrorubral nucleus,39,40,2,-5.5,-5.85,midbrain;monoaminergic,39 40
RRe,retrouniens area,31,31,1,-2.7,-2.7,thalamus,31
RRF,retrorubral field,37,39,3,-4.8,-5.5,midbrain;monoaminergic,37 38 39
rs,rubrospinal tract,41,62,22,-6.2,-13.55,fiber_tract;motor,41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
RSD,retrosplenial dysgranular cortex,27,42,16,-1.3,-6.55,cortex,27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
RSG,retrosplenial granular cortex,40,40,1,-5.85,-5.85,cortex,40
RSGa,"retrosplenial granular cortex, a region",35,39,5,-4.1,-5.5,cortex,35 36 37 38 39
RSGb,"retrosplenial granular cortex, b region",32,39,8,-3.05,-5.5,cortex,32 33 34 35 36 37 38 39
RSGc,"retrosplenial granular cortex, c region",27,36,10,-1.3,-4.45,cortex,27 28 29 30 31 32 33 34 35 36
Rt,reticular thalamic nucleus,26,30,5,-0.95,-2.35,thalamus,26 27 28 29 30
RtSt,reticluostrial nucleus,26,26,1,-0.95,-0.95,thalamus,26
RtTg,reticulotegmental nucleus of the pons,41,45,5,-6.2,-7.6,brainstem;midbrain,41 42 43 44 45
RtTgP,"reticulotegmental nucleus of the pons, pericentral part",41,42,2,-6.2,-6.55,brainstem;midbrain,41 42
RVRG,rostral ventral respiratory group,53,53,1,-10.4,-10.4,brainstem,53
S1,primary somatosensory cortex,24,30,7,-0.25,-2.35,cortex;somatosensory,24 25 26 27 28 29 30
S1BF,"primary somatosensory cortex, barrel field",20,28,9,1.15,-1.65,cortex;somatosensory,20 21 22 23 24 25 26 27 28
S1DZ,"primary somatosensory cortex, dysgranular zone",16,28,13,2.55,-1.65,cortex;somatosensory,16 17 18 19 20 21 22 23 24 25 26 27 28
S1DZO,"primary somatosensory cortex, oral dysgranular zone",18,19,2,1.85,1.5,cortex;somatosensory,18 19
S1FL,"primary somatosensory cortex, forelimb region",15,24,10,2.9,-0.25,cortex;somatosensory,15 16 17 18 19 20 21 22 23 24
S1HL,"primary somatosensory cortex, hindlimb region",20,26,7,1.15,-0.95,cortex;somatosensory,20 21 22 23 24 25 26
S1J,"primary somatosensory cortex, jaw region",13,20,8,3.6,1.15,cortex;somatosensory,13 14 15 16 17 18 19 20
S1Sh,"primary somatosensory cortex, shoulder region",25,26,2,-0.6,-0.95,cortex;somatosensory,25 26
S1Tr,"primary somatosensory cortex, trunk region",27,28,2,-1.3,-1.65,cortex;somatosensory,27 28
S1ULp,"primary somatosensory cortex, upper lip region",18,28,11,1.85,-1.65,cortex;somatosensory,18 19 20 21 22 23 24 25 26 27 28
S2,secondary somatosensory cortex,18,28,11,1.85,-1.65,cortex;somatosensory,18 19 20 21 22 23 24 25 26 27 28
s5,sensory root of the trigeminal nerve,42,47,6,-6.55,-8.3,fiber_tract;somatosensory,42 43 44 45 46 47
Sag,sagulum nucleus,41,43,3,-6.2,-6.9,auditory,41 42 43
Sc,scaphoid thalamic nucleus,32,32,1,-3.05,-3.05,thalamus,32
Sca,"spherical cell area, ventral cochlear nucleus",43,46,4,-6.9,-7.95,auditory,43 44 45 46
scc,splenium of the corpus callosum,31,33,3,-2.7,-3.4,fiber_tract,31 32 33
SCh,suprachiasmatic nucleus,25,25,1,-0.6,-0.6,hypothalamus,25
SChDL,"suprachiasmatic nucleus, dorsolateral part",26,26,1,-0.95,-0.95,hypothalamus,26
SChVM,"suprachiasmatic nucleus, ventromedial part",26,26,1,-0.95,-0.95,hypothalamus,26
SCO,subcommissural organ,32,34,3,-3.05,-3.75,ventricular,32 33 34
scp,superior cerebellar peduncle,41,49,9,-6.2,-9.0,cerebellum;fiber_tract,41 42 43 44 45 46 47 48 49
sf,secondary fissure,53,58,6,-10.4,-12.15,cerebellum,53 54 55 56 57 58
SFi,septofimbrial nucleus,22,25,4,0.45,-0.6,fiber_tract;hippocampal,22 23 24 25
SFO,subfornical organ,25,25,1,-0.6,-0.6,ventricular,25
SG,suprageniculate thalamic nucleus,33,36,4,-3.4,-4.45,auditory;thalamus,33 34 35 36
SGe,supragenual nucleus,46,46,1,-7.95,-7.95,brainstem,46
SHi,septohippocampal nucleus,18,25,8,1.85,-0.6,hippocampal,18 19 20 21 22 23 24 25
SHy,septohypothalamic nucleus,22,25,4,0.45,-0.6,basal_forebrain;hypothalamus,22 23 24 25
SIB,"substantia innominata, basal part",21,24,4,0.8,-0.25,basal_forebrain,21 22 23 24
Sim,simple lobule,43,49,7,-6.9,-9.0,cerebellum,43 44 45 46 47 48 49
simf,simplex fissure,47,49,3,-8.3,-9.0,cerebellum,47 48 49
SLu,stratum lucidum of the hippocampus,28,33,6,-1.65,-3.4,hippocampal,28 29 30 31 32 33
sm,stria medullaris of the thalamus,25,30,6,-0.6,-2.35,brainstem;fiber_tract;thalamus,25 26 27 28 29 30
SMV,superior medullary velum,45,47,3,-7.6,-8.3,brainstem,45 46 47
SNC,"substantia nigra, compact part",33,38,6,-3.4,-5.15,midbrain;monoaminergic;motor,33 34 35 36 37 38
SNR,"substantia nigra, reticular part",33,38,6,-3.4,-5.15,midbrain;motor,33 34 35 36 37 38
SO,supraoptic nucleus,23,27,5,0.1,-1.3,hypothalamus;visual,23 24 25 26 27
Sol,nucleus of the solitary tract,49,50,2,-9.0,-9.35,brainstem;fiber_tract,49 50
sol,solitary tract,50,57,8,-9.35,-11.8,brainstem;fiber_tract,50 51 52 53 54 55 56 57
SolC,"nucleus of the solitary tract, commissural part",55,62,8,-11.1,-13.55,brainstem;fiber_tract,55 56 57 58 59 60 61 62
SolDL,"solitary nucleus, dorsolateral part",55,57,3,-11.1,-11.8,brainstem,55 56 57
SolM,"nucleus of the solitary tract, medial part",55,59,5,-11.1,-12.5,brainstem;fiber_tract,55 56 57 58 59
SolV,"solitary nucleus, ventral part",55,57,3,-11.1,-11.8,brainstem,55 56 57
SolVL,"nucleus of the solitary tract, ventrolateral part",55,57,3,-11.1,-11.8,brainstem;fiber_tract,55 56 57
sox,supraoptic decussation,26,32,7,-0.95,-3.05,fiber_tract;hypothalamus;visual,26 27 28 29 30 31 32
sp5,spinal trigeminal tract,48,62,15,-8.65,-13.55,fiber_tract;somatosensory,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
Sp5C,"spinal trigeminal nucleus, caudal part",55,62,8,-11.1,-13.55,somatosensory,55 56 57 58 59 60 61 62
Sp5I,"spinal trigeminal nucleus, interpolar part",49,56,8,-9.0,-11.45,somatosensory,49 50 51 52 53 54 55 56
Sp5O,"spinal trigeminal nucleus, oral part",48,51,4,-8.65,-9.7,somatosensory,48 49 50 51
SPa,subparaventricular zone of the hypothalamus,27,28,2,-1.3,-1.65,hypothalamus;thalamus,27 28
SPF,subparafascicular thalamic nucleus,31,31,1,-2.7,-2.7,thalamus,31
SPFPC,"subparafascicular thalamic nucleus, parvicellular part",31,32,2,-2.7,-3.05,thalamus,31 32
SPN,superior periolivary nucleus,44,47,4,-7.25,-8.3,auditory,44 45 46 47
SPTg,subpeduncular tegmental nucleus,40,42,3,-5.85,-6.55,midbrain,40 41 42
SpVe,spinal vestibular nucleus,48,53,6,-8.65,-10.4,vestibular,48 49 50 51 52 53
ST,bed nucleus of the stria terminalis,22,22,1,0.45,0.45,basal_forebrain;fiber_tract,22
st,stria terminalis,23,31,9,0.1,-2.7,basal_forebrain;fiber_tract,23 24 25 26 27 28 29 30 31
StA,strial part of the preoptic area,23,23,1,0.1,0.1,hypothalamus;visual,23
STh,subthalamic nucleus,30,32,3,-2.35,-3.05,motor;thalamus,30 31 32
STIA,"bed nucleus of the stria terminalis, intraamygdaloid division",28,29,2,-1.65,-2.0,amygdala;basal_forebrain;fiber_tract,28 29
STLI,"bed nucleus of the stria terminalis, lateral division, intermediate part",24,24,1,-0.25,-0.25,basal_forebrain;fiber_tract,24
STLP,"bed nucleus of the stria terminalis, lateral division, posterior part",23,24,2,0.1,-0.25,basal_forebrain;fiber_tract,23 24
STLV,"bed nucleus of the stria terminalis, lateral division, ventral part",23,24,2,0.1,-0.25,basal_forebrain;fiber_tract,23 24
STMA,"bed nucleus of the stria terminalis, medial division, anterior part",23,24,2,0.1,-0.25,basal_forebrain;fiber_tract,23 24
STMP,"bed nucleus of the stria terminalis, medial division, posterior part",25,26,2,-0.6,-0.95,basal_forebrain;fiber_tract,25 26
STMV,"bed nucleus of the stria terminalis, medial division, ventral part",23,24,2,0.1,-0.25,basal_forebrain;fiber_tract,23 24
STr,"subiculum, transition area",37,38,2,-4.8,-5.15,hippocampal,37 38
str,superior thalamic radiation,31,32,2,-2.7,-3.05,fiber_tract;thalamus,31 32
Su3,supraoculomotor periaqueductal gray,36,39,4,-4.45,-5.5,midbrain;motor;ventricular,36 37 38 39
Su3C,supraoculomotor cap,36,37,2,-4.45,-4.8,midbrain;motor,36 37
Su5,supratrigeminal nucleus,43,45,3,-6.9,-7.6,somatosensory,43 44 45
Sub,submedius thalamic nucleus,30,30,1,-2.35,-2.35,thalamus,30
SubB,subbrachial nucleus,36,38,3,-4.45,-5.15,midbrain,36 37 38
SubCA,"subcoeruleus nucleus, alpha part",44,44,1,-7.25,-7.25,monoaminergic,44
SubCD,"subcoeruleus nucleus, dorsal part",43,45,3,-6.9,-7.6,monoaminergic,43 44 45
SubCV,"subcoeruleus nucleus, ventral part",43,45,3,-6.9,-7.6,monoaminergic,43 44 45
SubD,"submedius thalamic nucleus, dorsal part",28,29,2,-1.65,-2.0,thalamus,28 29
SubG,subgeniculate nucleus,31,32,2,-2.7,-3.05,thalamus;visual,31 32
SubI,subincertal nucleus,29,30,2,-2.0,-2.35,thalamus,29 30
SubV,"submedius thalamic nucleus, ventral part",28,29,2,-1.65,-2.0,thalamus,28 29
SuG,superficial gray layer of the superior colliculus,33,41,9,-3.4,-6.2,midbrain;visual,33 34 35 36 37 38 39 40 41
SuML,"supramammillary nucleus, lateral part",33,34,2,-3.4,-3.75,hypothalamus,33 34
SuMM,"supramammillary nucleus, medial part",33,34,2,-3.4,-3.75,hypothalamus,33 34
sumx,supramammillary decussation,34,34,1,-3.75,-3.75,fiber_tract;hypothalamus,34
SuVe,superior vestibular nucleus,46,47,2,-7.95,-8.3,vestibular,46 47
Te,terete hypothalamic nucleus,31,31,1,-2.7,-2.7,hypothalamus;thalamus,31
TeA,temporal association cortex,37,39,3,-4.8,-5.5,auditory;cortex,37 38 39
tfp,transverse fibers of the pons,39,39,1,-5.5,-5.5,fiber_tract,39
TG,tectal gray,33,35,3,-3.4,-4.1,midbrain,33 34 35
ts,tectospinal tract,39,62,24,-5.5,-13.55,fiber_tract;motor,39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
TS,triangular septal nucleus,24,25,2,-0.25,-0.6,basal_forebrain,24 25
tth,trigeminothalamic tract,43,45,3,-6.9,-7.6,fiber_tract;somatosensory;thalamus,43 44 45
Tu,olfactory tubercle,16,23,8,2.55,0.1,basal_forebrain;olfactory,16 17 18 19 20 21 22 23
TuLH,tuberal region of lateral hypothalamus,27,31,5,-1.3,-2.7,hypothalamus;thalamus,27 28 29 30 31
tz,trapezoid body,43,49,7,-6.9,-9.0,auditory;fiber_tract,43 44 45 46 47 48 49
tzx,decussation of the trapezoid body,44,47,4,-7.25,-8.3,auditory;fiber_tract,44 45 46 47
uf,uvular fissure,56,59,4,-11.45,-12.5,cerebellum,56 57 58 59
V1,primary visual cortex,31,42,12,-2.7,-6.55,cortex;visual,31 32 33 34 35 36 37 38 39 40 41 42
V1B,"primary visual cortex, binocular area",32,39,8,-3.05,-5.5,cortex;visual,32 33 34 35 36 37 38 39
V1M,"primary visual cortex, monocular area",32,39,8,-3.05,-5.5,cortex;visual,32 33 34 35 36 37 38 39
V2L,"secondary visual cortex, lateral area",31,41,11,-2.7,-6.2,cortex;visual,31 32 33 34 35 36 37 38 39 40 41
V2M,"secondary visual cortex, medial area",31,40,10,-2.7,-5.85,cortex;visual,31 32 33 34 35 36 37 38 39 40
VA,ventral anterior thalamic nucleus,27,27,1,-1.3,-1.3,motor;thalamus,27
VCA,"ventral cochlear nucleus, anterior part",43,47,5,-6.9,-8.3,auditory,43 44 45 46 47
VCl,ventral part of claustrum,16,26,11,2.55,-0.95,claustrum,16 17 18 19 20 21 22 23 24 25 26
VCP,"ventral cochlear nucleus, posterior part",47,49,3,-8.3,-9.0,auditory,47 48 49
VDB,nucleus of the vertical limb of the diagonal band,19,21,3,1.5,0.8,basal_forebrain,19 20 21
VeCb,vestibulocerebellar nucleus,46,49,4,-7.95,-9.0,cerebellum;vestibular,46 47 48 49
veme,vestibulomesencephalic tract,46,48,3,-7.95,-8.65,fiber_tract;vestibular,46 47 48
VEn,ventral endopiriform nucleus,24,29,6,-0.25,-2.0,olfactory,24 25 26 27 28 29
vesp,vestibulospinal tract,49,49,1,-9.0,-9.0,fiber_tract;vestibular,49
VG,ventral geniculate nucleus,29,34,6,-2.0,-3.75,thalamus;visual,29 30 31 32 33 34
VGMC,"ventral geniculate nucleus, magnocellular part",31,32,2,-2.7,-3.05,thalamus;visual,31 32
VGPC,"ventral geniculate nucleus, parvicellular part",31,32,2,-2.7,-3.05,thalamus;visual,31 32
vhc,ventral hippocampal commissure,25,27,3,-0.6,-1.3,fiber_tract;hippocampal,25 26 27
VL,ventrolateral thalamic nucleus,27,30,4,-1.3,-2.35,motor;thalamus,27 28 29 30
VLH,ventrolateral hypothalamic nucleus,27,27,1,-1.3,-1.3,hypothalamus;thalamus,27
vlh,ventrolateral hypothalamic tract,27,27,1,-1.3,-1.3,fiber_tract;hypothalamus;thalamus,27
VLi,ventral linear nucleus of the thalamus,33,33,1,-3.4,-3.4,thalamus,33
VLPAG,ventrolateral periaqueductal gray,37,42,6,-4.8,-6.55,midbrain;ventricular,37 38 39 40 41 42
VLPO,ventrolateral preoptic nucleus,23,24,2,0.1,-0.25,hypothalamus;visual,23 24
VM,ventromedial thalamic nucleus,27,30,4,-1.3,-2.35,thalamus,27 28 29 30
VMH,ventromedial hypothalamic nucleus,28,31,4,-1.65,-2.7,hypothalamus;thalamus,28 29 30 31
VMHC,"ventromedial hypothalamic nucleus, central part",29,30,2,-2.0,-2.35,hypothalamus;thalamus,29 30
VMHDM,"ventromedial hypothalamic nucleus, dorsomedial part",29,30,2,-2.0,-2.35,hypothalamus;thalamus,29 30
VMHSh,ventromedial nucleus of the hypothalamus shell,28,31,4,-1.65,-2.7,hypothalamus;thalamus,28 29 30 31
VMHVL,"ventromedial hypothalamic nucleus, ventrolateral part",29,30,2,-2.0,-2.35,hypothalamus;thalamus,29 30
VMPO,ventromedial preoptic nucleus,23,24,2,0.1,-0.25,hypothalamus;visual,23 24
VNLL,ventral nucleus of the lateral lemniscus,40,40,1,-5.85,-5.85,auditory;fiber_tract,40
VNTB,ventral nucleus of the trapezoid body,43,47,5,-6.9,-8.3,auditory,43 44 45 46 47
VO,ventral orbital cortex,9,16,8,5.0,2.55,cortex,9 10 11 12 13 14 15 16
VP,ventral pallidum,16,25,10,2.55,-0.6,basal_forebrain,16 17 18 19 20 21 22 23 24 25
VPL,ventral posterolateral thalamic nucleus,28,31,4,-1.65,-2.7,somatosensory;thalamus,28 29 30 31
VPM,ventral posteromedial thalamic nucleus,28,32,5,-1.65,-3.05,somatosensory;thalamus,28 29 30 31 32
VPPC,"ventral posterior nucleus of the thalamus, parvicellular part",31,31,1,-2.7,-2.7,somatosensory;thalamus,31
VRe,ventral reuniens thalamic nucleus,27,30,4,-1.3,-2.35,thalamus,27 28 29 30
VS,ventral subiculum,31,36,6,-2.7,-4.45,hippocampal,31 32 33 34 35 36
vsc,ventral spinocerebellar tract,43,62,20,-6.9,-13.55,cerebellum;fiber_tract,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
VTA,ventral tegmental area,37,38,2,-4.8,-5.15,midbrain;monoaminergic,37 38
VTAR,"ventral tegmental area, rostral part",34,35,2,-3.75,-4.1,midbrain;monoaminergic,34 35
VTg,ventral tegmental nucleus,42,42,1,-6.55,-6.55,midbrain;monoaminergic,42
vtgx,ventral tegmental decussation,35,37,3,-4.1,-4.8,fiber_tract;midbrain;monoaminergic,35 36 37
VTM,ventral tuberomammillary nucleus,33,34,2,-3.4,-3.75,hypothalamus,33 34
VTT,ventral tenia tecta,11,16,6,4.3,2.55,cortex;olfactory,11 12 13 14 15 16
vVNLL,"ventral nucleus of the lateral lemniscus, ventral part",41,43,3,-6.2,-6.9,auditory;fiber_tract,41 42 43
X,nucleus X,48,52,5,-8.65,-10.05,vestibular,48 49 50 51 52
Xi,xiphoid thalamic nucleus,27,28,2,-1.3,-1.65,thalamus,27 28
xscp,decussation of the superior cerebellar peduncle,39,41,3,-5.5,-6.2,cerebellum;fiber_tract,39 40 41
Y,nucleus Y,48,48,1,-8.65,-8.65,vestibular,48
ZI,zona incerta,28,29,2,-1.65,-2.0,thalamus,28 29
ZIC,"zona incerta, caudal part",34,35,2,-3.75,-4.1,thalamus,34 35
ZID,"zona incerta, dorsal part",30,33,4,-2.35,-3.4,thalamus,30 31 32 33
ZIR,"zona incerta, rostral part",26,27,2,-0.95,-1.3,thalamus,26 27
ZIV,"zona incerta, ventral part",30,33,4,-2.35,-3.4,thalamus,30 31 32 33
Zo,zonal layer of the superior colliculus,33,41,9,-3.4,-6.2,midbrain;visual,33 34 35 36 37 38 39 40 41
