abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
cbw,cerebellar white matter,53,3,-10.4,2.05,2.05,-3.18,label box,0.579,0.3935,0.0149,0.0119,,
cbw,cerebellar white matter,53,4,-10.4,-0.96,0.96,-3.89,label box,0.4228,0.4503,0.0149,0.0119,,
cbw,cerebellar white matter,53,5,-10.4,-0.45,0.45,-2.27,label box,0.4492,0.3194,0.0149,0.0119,,
cbw,cerebellar white matter,53,6,-10.4,-1.95,1.95,-3.19,label box,0.3717,0.3944,0.0152,0.0119,,
cbw,cerebellar white matter,53,7,-10.4,-0.47,0.47,-4.79,label box,0.4483,0.5234,0.0152,0.0119,,
chp,choroid plexus,53,0,-10.4,2.7,2.7,-5.29,label box,0.6125,0.5639,0.0127,0.0142,,
chp,choroid plexus,53,1,-10.4,-2.59,2.59,-5.31,label box,0.3385,0.5656,0.0127,0.0142,,
chp,choroid plexus,53,2,-10.4,0.07,0.07,-5.55,label box,0.4764,0.5844,0.0131,0.0142,,
dsc,dorsal spinocerebellar tract,53,0,-10.4,2.66,2.66,-7.13,label box,0.6108,0.7123,0.0127,0.0114,,
dsc,dorsal spinocerebellar tract,53,1,-10.4,-2.68,2.68,-7.19,label box,0.3341,0.7171,0.0127,0.0119,,
icf,intercrural fissure,53,0,-10.4,3.74,3.74,-2.27,label box,0.6667,0.3197,0.0084,0.0159,,
icf,intercrural fissure,53,1,-10.4,-3.47,3.47,-2.46,label box,0.2929,0.3353,0.0087,0.0165,,
icp,inferior cerebellar peduncle (restiform body),53,0,-10.4,2.02,2.02,-5.63,label box,0.5772,0.5913,0.0102,0.0148,,
icp,inferior cerebellar peduncle (restiform body),53,1,-10.4,-2.15,2.15,-5.73,label box,0.3611,0.5995,0.0102,0.0142,,
mlf,medial longitudinal fasciculus,53,0,-10.4,0.02,0.02,-6.35,label box,0.474,0.6494,0.0113,0.0114,,
oc,olivocerebellar tract,53,0,-10.4,2.93,2.93,-7.15,label box,0.6247,0.714,0.008,0.0091,,
plf,posterolateral fissure,53,0,-10.4,-0.86,0.86,-4.25,label box,0.4281,0.4796,0.0084,0.0176,,
pms,paramedian sulcus,53,0,-10.4,-1.01,1.01,-1.32,label box,0.4204,0.2432,0.0153,0.0114,,
pms,paramedian sulcus,53,1,-10.4,1.13,1.13,-1.32,label box,0.5314,0.2432,0.0149,0.0114,,
ppf,prepyramidal fissure,53,0,-10.4,-0.68,0.68,-2.66,label box,0.4376,0.3509,0.0113,0.017,,
ppf,prepyramidal fissure,53,1,-10.4,-2.63,2.63,-4.54,label box,0.3366,0.5029,0.0113,0.0142,,
ppf,prepyramidal fissure,53,2,-10.4,2.85,2.85,-4.56,label box,0.6202,0.5049,0.0113,0.0148,,
psf,posterior superior fissure,53,0,-10.4,-0.67,0.67,-1.77,label box,0.438,0.2793,0.0105,0.0142,,
py,pyramidal tract,53,0,-10.4,-0.68,0.68,-8.53,label box,0.4376,0.8251,0.0084,0.0119,,
py,pyramidal tract,53,1,-10.4,0.49,0.49,-8.53,label box,0.4982,0.8256,0.0084,0.0119,,
rs,rubrospinal tract,53,0,-10.4,-2.13,2.13,-7.43,label box,0.3625,0.7369,0.0062,0.0091,,
rs,rubrospinal tract,53,1,-10.4,2.35,2.35,-7.31,label box,0.5944,0.7273,0.0062,0.0085,,
