abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
Dtr,dorsal transition zone,13,0,3.6,-1.1,1.1,-6.16,label box,0.4157,0.6341,0.0102,0.0114,,
Dtr,dorsal transition zone,13,1,3.6,0.86,0.86,-6.13,label box,0.5173,0.6312,0.0105,0.0114,,
E,ependyma and subependymal layer,13,0,3.6,1.6,1.6,-7.1,label box,0.5558,0.71,0.0036,0.0114,,
E,ependyma and subependymal layer,13,1,3.6,-1.97,1.97,-7.17,label box,0.3708,0.716,0.004,0.0119,,
Fr3,"frontal cortex, area 3",13,0,3.6,-2.8,2.8,-3.66,label box,0.3276,0.4321,0.0105,0.0119,,
Fr3,"frontal cortex, area 3",13,1,3.6,2.91,2.91,-3.74,label box,0.6234,0.4386,0.0105,0.0114,,
GI,granular insular cortex,13,0,3.6,2.37,2.37,-4.8,label box,0.5954,0.5241,0.0069,0.0119,,
GI,granular insular cortex,13,1,3.6,-2.45,2.45,-5.08,label box,0.3456,0.5469,0.0065,0.0119,,
IEn,intermediate endopiriform nucleus,13,0,3.6,1.3,1.3,-6.45,leader tip,0.5752,0.6771,0.0105,0.0114,0.5399,0.6571
IEn,intermediate endopiriform nucleus,13,1,3.6,-1.39,1.39,-6.63,leader tip,0.3675,0.6913,0.0105,0.0114,0.4005,0.6721
LO,lateral orbital cortex,13,0,3.6,1.61,1.61,-5.33,label box,0.556,0.5673,0.0087,0.0119,,
LO,lateral orbital cortex,13,1,3.6,-1.7,1.7,-5.57,label box,0.3844,0.5866,0.0087,0.0119,,
M1,primary motor cortex,13,0,3.6,-2.33,2.33,-3.12,label box,0.3519,0.3881,0.0098,0.0114,,
M1,primary motor cortex,13,1,3.6,2.54,2.54,-3.15,label box,0.6043,0.3909,0.0094,0.0114,,
M2,secondary motor cortex,13,0,3.6,-1.46,1.46,-2.88,label box,0.3972,0.369,0.0109,0.0119,,
M2,secondary motor cortex,13,1,3.6,1.69,1.69,-2.85,label box,0.5603,0.3662,0.0109,0.0119,,
MO,medial orbital cortex,13,0,3.6,-0.55,0.55,-5.48,label box,0.4442,0.5787,0.012,0.0119,,
MO,medial orbital cortex,13,1,3.6,0.55,0.55,-5.46,label box,0.5011,0.5776,0.0116,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),13,0,3.6,1.81,1.81,-7.1,label box,0.5667,0.71,0.0102,0.0125,,
OV,olfactory ventricle (olfactory part of lateral ventricle),13,1,3.6,-1.76,1.76,-7.17,label box,0.3815,0.716,0.0102,0.0119,,
Pir,piriform cortex,13,0,3.6,1.8,1.8,-6.09,label box,0.5658,0.6281,0.0094,0.0119,,
Pir,piriform cortex,13,1,3.6,-1.85,1.85,-6.3,label box,0.3768,0.6457,0.0094,0.0108,,
PrL,prelimbic cortex,13,0,3.6,-0.63,0.63,-4.4,label box,0.44,0.492,0.0116,0.0114,,
PrL,prelimbic cortex,13,1,3.6,0.69,0.69,-4.4,label box,0.5087,0.4915,0.0116,0.0114,,
S1J,"primary somatosensory cortex, jaw region",13,0,3.6,2.72,2.72,-4.31,label box,0.6137,0.4844,0.0131,0.0119,,
S1J,"primary somatosensory cortex, jaw region",13,1,3.6,-2.68,2.68,-4.4,label box,0.3336,0.492,0.0131,0.0125,,
VO,ventral orbital cortex,13,0,3.6,1.18,1.18,-5.4,label box,0.5338,0.5724,0.0102,0.0119,,
VO,ventral orbital cortex,13,1,3.6,-1.19,1.19,-5.5,label box,0.4112,0.581,0.0098,0.0119,,
VTT,ventral tenia tecta,13,0,3.6,0.73,0.73,-7.23,label box,0.5106,0.7208,0.0149,0.0114,,
fmi,forceps minor of the corpus callosum,13,0,3.6,1.65,1.65,-4.2,label box,0.5581,0.4756,0.0109,0.0114,,
fmi,forceps minor of the corpus callosum,13,1,3.6,-1.63,1.63,-4.35,label box,0.3884,0.4881,0.0109,0.0114,,
lo,lateral olfactory tract,13,0,3.6,-2.07,2.07,-6.68,label box,0.3654,0.6761,0.0105,0.0114,,
rf,rhinal fissure,13,0,3.6,-2.21,2.21,-6.22,label box,0.3583,0.6389,0.0051,0.0119,,
rf,rhinal fissure,13,1,3.6,2.22,2.22,-5.92,label box,0.5879,0.6146,0.0054,0.0114,,
2,layer 2 of cortex,14,0,3.25,-0.55,0.55,-6.66,label box,0.4444,0.6744,0.0029,0.0091,,
2,layer 2 of cortex,14,1,3.25,-0.73,0.73,-7.14,label box,0.435,0.7131,0.0029,0.0091,,
2,layer 2 of cortex,14,2,3.25,1.79,1.79,-6.36,label box,0.5656,0.6503,0.0029,0.0091,,
2,layer 2 of cortex,14,3,3.25,0.78,0.78,-7.15,label box,0.5133,0.714,0.0029,0.0091,,
3,layer 3 of cortex,14,0,3.25,1.67,1.67,-6.24,label box,0.5594,0.6403,0.0033,0.0091,,
3,layer 3 of cortex,14,1,3.25,-1.71,1.71,-6.3,label box,0.3841,0.6455,0.0029,0.0091,,
3,layer 3 of cortex,14,2,3.25,-0.8,0.8,-6.99,label box,0.4313,0.7011,0.0029,0.0091,,
4,layer 4 of cortex,14,0,3.25,-0.94,0.94,-6.47,label box,0.4238,0.6592,0.0033,0.0085,,
AI,agranular insular cortex,14,0,3.25,-2.26,2.26,-5.35,label box,0.3554,0.5687,0.0065,0.0114,,
AI,agranular insular cortex,14,1,3.25,2.14,2.14,-5.34,label box,0.5836,0.5676,0.0065,0.0114,,
AI,agranular insular cortex,14,2,3.25,-1.11,1.11,-6.77,label box,0.4152,0.6835,0.0047,0.0114,,
AOP,"anterior olfactory nucleus, posterior part",14,0,3.25,1.07,1.07,-7,label box,0.5283,0.7015,0.0156,0.0125,,
AOP,"anterior olfactory nucleus, posterior part",14,1,3.25,-1.32,1.32,-7.01,label box,0.4042,0.7026,0.0156,0.0125,,
AOVP,"anterior olfactory nucleus, ventroposterior part",14,0,3.25,0.75,0.75,-6.75,label box,0.5118,0.6816,0.0211,0.0125,,
AOVP,"anterior olfactory nucleus, ventroposterior part",14,1,3.25,-0.96,0.96,-6.77,label box,0.4229,0.683,0.0211,0.0119,,
Cg1,"cingulate cortex, area 1",14,0,3.25,0.64,0.64,-3.34,label box,0.5057,0.406,0.0131,0.0148,,
Cg1,"cingulate cortex, area 1",14,1,3.25,-0.6,0.6,-3.37,label box,0.4418,0.4089,0.0131,0.0148,,
Cl,claustrum,14,0,3.25,1.67,1.67,-4.75,label box,0.5594,0.5202,0.0062,0.0119,,
Cl,claustrum,14,1,3.25,-1.57,1.57,-4.79,label box,0.3914,0.523,0.0065,0.0119,,
DEn,dorsal endopiriform nucleus,14,0,3.25,-1.33,1.33,-6.23,label box,0.4037,0.6398,0.0138,0.0114,,
DEn,dorsal endopiriform nucleus,14,1,3.25,1.23,1.23,-6.25,label box,0.5367,0.6409,0.0138,0.0114,,
DI,dysgranular insular cortex,14,0,3.25,-2.43,2.43,-5.02,label box,0.3467,0.5415,0.0065,0.0114,,
DI,dysgranular insular cortex,14,1,3.25,2.35,2.35,-5.02,label box,0.5945,0.5415,0.0065,0.0114,,
DP,dorsal peduncular cortex,14,0,3.25,0.45,0.45,-6.18,label box,0.4962,0.6358,0.0098,0.0114,,
DP,dorsal peduncular cortex,14,1,3.25,-0.59,0.59,-6.19,label box,0.4419,0.6367,0.0098,0.0114,,
DTT,dorsal tenia tecta,14,0,3.25,0.27,0.27,-6.88,label box,0.4867,0.692,0.0142,0.0114,,
DTT,dorsal tenia tecta,14,1,3.25,-0.45,0.45,-6.87,label box,0.4492,0.691,0.0149,0.0119,,
Dtr,dorsal transition zone,14,0,3.25,-1.01,1.01,-6.17,label box,0.4202,0.6349,0.0105,0.0119,,
Dtr,dorsal transition zone,14,1,3.25,0.91,0.91,-6.14,label box,0.52,0.6327,0.0102,0.0119,,
E,ependyma and subependymal layer,14,0,3.25,1.41,1.41,-6.59,leader tip,0.5766,0.685,0.004,0.0114,0.5456,0.6687
E,ependyma and subependymal layer,14,1,3.25,-2.38,2.38,-6.83,label box,0.3495,0.6881,0.0036,0.0119,,
Fr3,"frontal cortex, area 3",14,0,3.25,-2.73,2.73,-3.02,label box,0.3312,0.3804,0.0105,0.0119,,
Fr3,"frontal cortex, area 3",14,1,3.25,2.84,2.84,-2.99,label box,0.6197,0.3776,0.0105,0.0119,,
GI,granular insular cortex,14,0,3.25,-2.61,2.61,-4.73,label box,0.3374,0.5188,0.0069,0.0114,,
GI,granular insular cortex,14,1,3.25,2.57,2.57,-4.76,label box,0.6057,0.5207,0.0065,0.0119,,
IEn,intermediate endopiriform nucleus,14,0,3.25,-1.49,1.49,-6.42,label box,0.3953,0.6554,0.0102,0.0119,,
IEn,intermediate endopiriform nucleus,14,1,3.25,1.38,1.38,-6.42,label box,0.5441,0.6546,0.0102,0.0119,,
IL,infralimbic cortex,14,0,3.25,-0.63,0.63,-5.39,label box,0.4399,0.5719,0.0058,0.0114,,
IL,infralimbic cortex,14,1,3.25,0.49,0.49,-5.39,label box,0.498,0.5714,0.0058,0.0114,,
LO,lateral orbital cortex,14,0,3.25,-1.83,1.83,-5.47,label box,0.3779,0.5781,0.0087,0.0119,,
LO,lateral orbital cortex,14,1,3.25,1.82,1.82,-5.47,label box,0.567,0.5781,0.0084,0.0119,,
M1,primary motor cortex,14,0,3.25,2.33,2.33,-2.76,label box,0.5934,0.3591,0.0094,0.0114,,
M1,primary motor cortex,14,1,3.25,-2.1,2.1,-2.82,label box,0.3641,0.3642,0.0094,0.0114,,
M2,secondary motor cortex,14,0,3.25,-1.32,1.32,-2.84,label box,0.4041,0.3656,0.0109,0.0119,,
M2,secondary motor cortex,14,1,3.25,1.49,1.49,-2.77,label box,0.5498,0.3599,0.0109,0.0119,,
MO,medial orbital cortex,14,0,3.25,-0.57,0.57,-5.62,label box,0.4431,0.5906,0.012,0.0119,,
MO,medial orbital cortex,14,1,3.25,0.56,0.56,-5.62,label box,0.5015,0.5906,0.0116,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),14,0,3.25,2.21,2.21,-6.79,label box,0.5873,0.6847,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),14,1,3.25,-1.4,1.4,-6.58,leader tip,0.3602,0.6881,0.0105,0.0119,0.4002,0.668
Pir,piriform cortex,14,0,3.25,1.89,1.89,-6.21,label box,0.5705,0.6381,0.0094,0.0114,,
PrL,prelimbic cortex,14,0,3.25,-0.62,0.62,-4.33,label box,0.4404,0.4858,0.0116,0.0114,,
PrL,prelimbic cortex,14,1,3.25,0.65,0.65,-4.33,label box,0.5064,0.4864,0.0116,0.0119,,
S1J,"primary somatosensory cortex, jaw region",14,0,3.25,-2.99,2.99,-3.85,label box,0.3176,0.4472,0.0131,0.0125,,
S1J,"primary somatosensory cortex, jaw region",14,1,3.25,3.1,3.1,-3.8,label box,0.6336,0.4435,0.0134,0.0125,,
VO,ventral orbital cortex,14,0,3.25,-1.29,1.29,-5.57,label box,0.4059,0.5866,0.0102,0.0119,,
VO,ventral orbital cortex,14,1,3.25,1.2,1.2,-5.58,label box,0.5349,0.5872,0.0102,0.0119,,
VTT,ventral tenia tecta,14,0,3.25,-0.87,0.87,-7.35,label box,0.4278,0.7305,0.0149,0.0114,,
VTT,ventral tenia tecta,14,1,3.25,0.66,0.66,-7.32,label box,0.5069,0.7276,0.0149,0.0114,,
aca,"anterior commissure, anterior part",14,0,3.25,1.06,1.06,-6.6,label box,0.5276,0.6697,0.0127,0.0091,,
aca,"anterior commissure, anterior part",14,1,3.25,-1.25,1.25,-6.63,label box,0.4078,0.6719,0.0127,0.0091,,
fmi,forceps minor of the corpus callosum,14,0,3.25,-1.61,1.61,-4.35,label box,0.3894,0.4881,0.0113,0.0114,,
fmi,forceps minor of the corpus callosum,14,1,3.25,1.54,1.54,-4.34,label box,0.5525,0.4869,0.0113,0.0114,,
lo,lateral olfactory tract,14,0,3.25,-1.91,1.91,-6.98,label box,0.3737,0.7003,0.0149,0.0119,,
rf,rhinal fissure,14,0,3.25,2.29,2.29,-6,label box,0.5912,0.6213,0.0058,0.0108,,
rf,rhinal fissure,14,1,3.25,-2.46,2.46,-5.98,label box,0.3452,0.6194,0.0058,0.0108,,
2,layer 2 of cortex,15,0,2.9,1.82,1.82,-6.38,label box,0.5669,0.652,0.0029,0.0085,,
2,layer 2 of cortex,15,1,2.9,-0.73,0.73,-7.25,label box,0.4351,0.7224,0.0062,0.0222,,
3,layer 3 of cortex,15,0,2.9,-0.81,0.81,-7.02,label box,0.431,0.7037,0.0029,0.0085,,
3,layer 3 of cortex,15,1,2.9,0.71,0.71,-6.99,label box,0.5096,0.7014,0.0033,0.0085,,
3,layer 3 of cortex,15,2,2.9,-1.81,1.81,-6.34,label box,0.3788,0.6486,0.0033,0.0091,,
3,layer 3 of cortex,15,3,2.9,0.44,0.44,-6.56,label box,0.4955,0.6663,0.0029,0.0091,,
4,layer 4 of cortex,15,0,2.9,0.62,0.62,-6.43,label box,0.5051,0.656,0.0029,0.0085,,
AI,agranular insular cortex,15,0,2.9,2.29,2.29,-5.33,label box,0.5916,0.567,0.0065,0.0114,,
AI,agranular insular cortex,15,1,2.9,-2.5,2.5,-5.44,label box,0.343,0.5762,0.0065,0.0119,,
AOP,"anterior olfactory nucleus, posterior part",15,0,2.9,1.13,1.13,-6.98,label box,0.5311,0.7006,0.016,0.0119,,
AOP,"anterior olfactory nucleus, posterior part",15,1,2.9,-1.27,1.27,-7.03,label box,0.4069,0.7043,0.016,0.0125,,
AOVP,"anterior olfactory nucleus, ventroposterior part",15,0,2.9,-0.88,0.88,-6.74,label box,0.427,0.6807,0.0207,0.0119,,
AOVP,"anterior olfactory nucleus, ventroposterior part",15,1,2.9,0.78,0.78,-6.74,label box,0.5133,0.6807,0.0211,0.0119,,
Cg1,"cingulate cortex, area 1",15,0,2.9,-0.6,0.6,-3.26,label box,0.4417,0.4,0.0127,0.0148,,
Cg1,"cingulate cortex, area 1",15,1,2.9,0.75,0.75,-3.26,label box,0.5118,0.3998,0.0131,0.0148,,
Cl,claustrum,15,0,2.9,1.57,1.57,-4.9,label box,0.5541,0.5318,0.0065,0.0125,,
Cl,claustrum,15,1,2.9,-1.65,1.65,-4.98,label box,0.3872,0.5389,0.0062,0.0119,,
DEn,dorsal endopiriform nucleus,15,0,2.9,-1.3,1.3,-6.17,label box,0.4055,0.6349,0.0138,0.0119,,
DEn,dorsal endopiriform nucleus,15,1,2.9,1.25,1.25,-6.15,label box,0.5376,0.6335,0.0142,0.0114,,
DI,dysgranular insular cortex,15,0,2.9,2.51,2.51,-5.04,label box,0.6028,0.5432,0.0065,0.0114,,
DI,dysgranular insular cortex,15,1,2.9,-2.77,2.77,-5.15,label box,0.3292,0.5521,0.0065,0.0114,,
DP,dorsal peduncular cortex,15,0,2.9,-0.47,0.47,-6.17,label box,0.4486,0.6352,0.0098,0.0114,,
DP,dorsal peduncular cortex,15,1,2.9,0.44,0.44,-6.2,label box,0.4953,0.6376,0.0098,0.0119,,
Dtr,dorsal transition zone,15,0,2.9,0.93,0.93,-6.13,label box,0.5209,0.6312,0.0105,0.0114,,
Dtr,dorsal transition zone,15,1,2.9,-0.79,0.79,-6.21,label box,0.4318,0.6381,0.0105,0.0119,,
E,ependyma and subependymal layer,15,0,2.9,1.35,1.35,-6.49,leader tip,0.5852,0.683,0.0036,0.0119,0.5425,0.6606
E,ependyma and subependymal layer,15,1,2.9,-2.53,2.53,-6.81,label box,0.3417,0.6864,0.004,0.0119,,
Fr3,"frontal cortex, area 3",15,0,2.9,2.84,2.84,-2.88,label box,0.6199,0.3688,0.0109,0.0114,,
Fr3,"frontal cortex, area 3",15,1,2.9,-2.66,2.66,-2.91,label box,0.335,0.3714,0.0109,0.0114,,
GI,granular insular cortex,15,0,2.9,-2.91,2.91,-4.91,label box,0.3218,0.5332,0.0069,0.0119,,
GI,granular insular cortex,15,1,2.9,2.7,2.7,-4.84,label box,0.6128,0.527,0.0069,0.0119,,
IEn,intermediate endopiriform nucleus,15,0,2.9,1.42,1.42,-6.39,label box,0.5461,0.6523,0.0105,0.0119,,
IL,infralimbic cortex,15,0,2.9,-0.55,0.55,-5.45,label box,0.444,0.5767,0.0058,0.0114,,
IL,infralimbic cortex,15,1,2.9,0.63,0.63,-5.46,label box,0.5055,0.5778,0.0058,0.0114,,
LO,lateral orbital cortex,15,0,2.9,-2.11,2.11,-5.62,label box,0.3636,0.5906,0.0084,0.0119,,
LO,lateral orbital cortex,15,1,2.9,1.96,1.96,-5.53,label box,0.5743,0.5827,0.0084,0.0119,,
M1,primary motor cortex,15,0,2.9,2.12,2.12,-2.62,label box,0.5827,0.3483,0.0098,0.0114,,
M1,primary motor cortex,15,1,2.9,-1.9,1.9,-2.72,label box,0.3744,0.356,0.0098,0.0114,,
M2,secondary motor cortex,15,0,2.9,-0.83,0.83,-2.56,label box,0.4295,0.3432,0.0109,0.0114,,
M2,secondary motor cortex,15,1,2.9,1.33,1.33,-2.55,label box,0.5418,0.3426,0.0109,0.0114,,
OV,olfactory ventricle (olfactory part of lateral ventricle),15,0,2.9,-1.38,1.38,-6.46,leader tip,0.3524,0.6864,0.0102,0.0119,0.4013,0.6586
OV,olfactory ventricle (olfactory part of lateral ventricle),15,1,2.9,2.37,2.37,-6.77,label box,0.5957,0.683,0.0102,0.0119,,
Pir,piriform cortex,15,0,2.9,1.99,1.99,-6.19,label box,0.5759,0.6364,0.0094,0.0114,,
Pir,piriform cortex,15,1,2.9,-2.09,2.09,-6.25,label box,0.3643,0.6415,0.0091,0.0114,,
PrL,prelimbic cortex,15,0,2.9,-0.61,0.61,-4.29,label box,0.4411,0.483,0.0116,0.0114,,
PrL,prelimbic cortex,15,1,2.9,0.72,0.72,-4.29,label box,0.5102,0.483,0.0116,0.0114,,
S1FL,"primary somatosensory cortex, forelimb region",15,0,2.9,3.23,3.23,-3.58,label box,0.6403,0.4256,0.0182,0.0125,,
S1FL,"primary somatosensory cortex, forelimb region",15,1,2.9,-3.33,3.33,-3.55,label box,0.3001,0.4234,0.0182,0.0119,,
S1J,"primary somatosensory cortex, jaw region",15,0,2.9,2.93,2.93,-4.36,label box,0.6246,0.4884,0.0131,0.0119,,
S1J,"primary somatosensory cortex, jaw region",15,1,2.9,-3.23,3.23,-4.38,label box,0.3052,0.4898,0.0131,0.0119,,
VO,ventral orbital cortex,15,0,2.9,1.29,1.29,-5.63,label box,0.5396,0.5912,0.0102,0.0119,,
VO,ventral orbital cortex,15,1,2.9,-1.37,1.37,-5.64,label box,0.4015,0.5921,0.0102,0.0119,,
VTT,ventral tenia tecta,15,0,2.9,-0.48,0.48,-7.24,label box,0.4477,0.7211,0.0149,0.0119,,
VTT,ventral tenia tecta,15,1,2.9,0.46,0.46,-7.26,label box,0.4966,0.7225,0.0145,0.0114,,
aca,"anterior commissure, anterior part",15,0,2.9,-1.22,1.22,-6.57,label box,0.4094,0.6668,0.0123,0.0091,,
aca,"anterior commissure, anterior part",15,1,2.9,1.17,1.17,-6.59,label box,0.5331,0.6691,0.0127,0.0091,,
fmi,forceps minor of the corpus callosum,15,0,2.9,1.53,1.53,-4.38,label box,0.552,0.4898,0.0109,0.0114,,
fmi,forceps minor of the corpus callosum,15,1,2.9,-1.43,1.43,-4.45,label box,0.3984,0.496,0.0113,0.0114,,
lo,lateral olfactory tract,15,0,2.9,1.86,1.86,-6.79,label box,0.569,0.6847,0.0054,0.0119,,
lo,lateral olfactory tract,15,1,2.9,-1.91,1.91,-6.82,label box,0.3739,0.687,0.0058,0.0119,,
rf,rhinal fissure,15,0,2.9,-2.56,2.56,-6.17,label box,0.3401,0.6344,0.0058,0.0108,,
rf,rhinal fissure,15,1,2.9,2.42,2.42,-6.02,label box,0.5979,0.6228,0.0058,0.0108,,
1,layer 1 of cortex,16,0,2.55,1.96,1.96,-5.66,label box,0.5741,0.5932,0.0036,0.0114,,
2,layer 2 of cortex,16,0,2.55,1.99,1.99,-6.45,label box,0.5757,0.6577,0.0029,0.0091,,
2,layer 2 of cortex,16,1,2.55,0.16,0.16,-6.49,label box,0.4811,0.6606,0.0033,0.0091,,
2,layer 2 of cortex,16,2,2.55,-0.27,0.27,-6.5,label box,0.4585,0.6611,0.0029,0.0091,,
3,layer 3 of cortex,16,0,2.55,-2.04,2.04,-6.4,label box,0.367,0.6531,0.0029,0.0085,,
3,layer 3 of cortex,16,1,2.55,-0.44,0.44,-6.46,label box,0.4497,0.6583,0.0029,0.0091,,
AI,agranular insular cortex,16,0,2.55,2.44,2.44,-5.49,label box,0.5992,0.5799,0.0069,0.0114,,
AI,agranular insular cortex,16,1,2.55,-2.73,2.73,-5.63,label box,0.3312,0.5913,0.0069,0.0114,,
AOP,"anterior olfactory nucleus, posterior part",16,0,2.55,-0.77,0.77,-7.09,label box,0.433,0.7092,0.016,0.0119,,
AOP,"anterior olfactory nucleus, posterior part",16,1,2.55,0.66,0.66,-7.13,label box,0.5069,0.712,0.0156,0.0119,,
AcbC,"accumbens nucleus, core",16,0,2.55,1.05,1.05,-5.87,label box,0.5273,0.6105,0.0189,0.0119,,
AcbC,"accumbens nucleus, core",16,1,2.55,-1.21,1.21,-5.98,label box,0.41,0.6197,0.0192,0.0125,,
AcbSh,"accumbens nucleus, shell",16,0,2.55,-0.99,0.99,-6.53,label box,0.4215,0.6639,0.0233,0.0119,,
AcbSh,"accumbens nucleus, shell",16,1,2.55,0.84,0.84,-6.52,label box,0.5165,0.6628,0.0236,0.0119,,
Cg1,"cingulate cortex, area 1",16,0,2.55,0.63,0.63,-2.89,label box,0.5053,0.3696,0.0127,0.0142,,
Cg1,"cingulate cortex, area 1",16,1,2.55,-0.56,0.56,-2.87,label box,0.4439,0.368,0.0131,0.0148,,
DCl,dorsal part of claustrum,16,0,2.55,1.81,1.81,-4.87,label box,0.5665,0.5296,0.012,0.0119,,
DCl,dorsal part of claustrum,16,1,2.55,-1.95,1.95,-4.99,label box,0.3717,0.5398,0.0123,0.0119,,
DEn,dorsal endopiriform nucleus,16,0,2.55,-1.62,1.62,-6.26,label box,0.3888,0.642,0.0138,0.0114,,
DEn,dorsal endopiriform nucleus,16,1,2.55,1.44,1.44,-6.25,label box,0.5476,0.6409,0.0138,0.0114,,
DI,dysgranular insular cortex,16,0,2.55,2.65,2.65,-5.13,label box,0.6102,0.5506,0.0065,0.0119,,
DI,dysgranular insular cortex,16,1,2.55,-2.94,2.94,-5.32,label box,0.3205,0.5663,0.0065,0.0114,,
DP,dorsal peduncular cortex,16,0,2.55,-0.52,0.52,-6.05,label box,0.446,0.625,0.0098,0.0114,,
DP,dorsal peduncular cortex,16,1,2.55,0.37,0.37,-6.05,label box,0.4919,0.6251,0.0102,0.0119,,
DTT,dorsal tenia tecta,16,0,2.55,0.17,0.17,-6.63,label box,0.4815,0.6722,0.0149,0.0119,,
DTT,dorsal tenia tecta,16,1,2.55,-0.3,0.3,-6.64,label box,0.457,0.6731,0.0145,0.0114,,
E,ependyma and subependymal layer,16,0,2.55,0.71,0.71,-6.01,label box,0.5093,0.6222,0.0036,0.0119,,
E,ependyma and subependymal layer,16,1,2.55,-1.03,1.03,-6.14,label box,0.4196,0.6325,0.0036,0.0119,,
Fr3,"frontal cortex, area 3",16,0,2.55,-2.65,2.65,-2.74,label box,0.3354,0.3577,0.0109,0.0119,,
Fr3,"frontal cortex, area 3",16,1,2.55,2.64,2.64,-2.66,label box,0.6094,0.3514,0.0109,0.0119,,
GI,granular insular cortex,16,0,2.55,-3.08,3.08,-5.07,label box,0.313,0.5457,0.0069,0.0119,,
GI,granular insular cortex,16,1,2.55,2.79,2.79,-4.9,label box,0.6173,0.5325,0.0069,0.0119,,
IEn,intermediate endopiriform nucleus,16,0,2.55,-1.72,1.72,-6.56,label box,0.3837,0.6665,0.0102,0.0114,,
IEn,intermediate endopiriform nucleus,16,1,2.55,1.5,1.5,-6.55,label box,0.5505,0.6657,0.0105,0.0114,,
IL,infralimbic cortex,16,0,2.55,-0.59,0.59,-5.3,label box,0.4422,0.5642,0.0058,0.0114,,
IL,infralimbic cortex,16,1,2.55,0.47,0.47,-5.29,label box,0.4973,0.5636,0.0062,0.0114,,
LO,lateral orbital cortex,16,0,2.55,-2.08,2.08,-5.7,label box,0.3652,0.5966,0.0087,0.0125,,
LO,lateral orbital cortex,16,1,2.55,1.99,1.99,-5.65,label box,0.5761,0.5924,0.0087,0.0125,,
M1,primary motor cortex,16,0,2.55,2.14,2.14,-2.53,label box,0.5838,0.3409,0.0098,0.0114,,
M1,primary motor cortex,16,1,2.55,-2.1,2.1,-2.62,label box,0.3639,0.348,0.0098,0.0119,,
M2,secondary motor cortex,16,0,2.55,-1.27,1.27,-2.53,label box,0.4068,0.3403,0.0105,0.0114,,
M2,secondary motor cortex,16,1,2.55,1.33,1.33,-2.45,label box,0.5418,0.3344,0.0109,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),16,0,2.55,-0.81,0.81,-6.14,label box,0.4305,0.6322,0.0102,0.0125,,
Pir,piriform cortex,16,0,2.55,2.09,2.09,-6.32,label box,0.581,0.6466,0.0094,0.0114,,
Pir,piriform cortex,16,1,2.55,-2.27,2.27,-6.35,label box,0.355,0.6495,0.0094,0.0119,,
PrL,prelimbic cortex,16,0,2.55,-0.71,0.71,-4.25,label box,0.4359,0.4799,0.0116,0.0114,,
PrL,prelimbic cortex,16,1,2.55,0.61,0.61,-4.25,label box,0.5042,0.4799,0.0116,0.0114,,
S1DZ,"primary somatosensory cortex, dysgranular zone",16,0,2.55,-3.73,3.73,-4.02,label box,0.2793,0.4614,0.0193,0.0125,,
S1DZ,"primary somatosensory cortex, dysgranular zone",16,1,2.55,3.46,3.46,-4.14,label box,0.6518,0.4711,0.0192,0.0119,,
S1FL,"primary somatosensory cortex, forelimb region",16,0,2.55,3.42,3.42,-3.41,label box,0.6501,0.4116,0.0182,0.0119,,
S1FL,"primary somatosensory cortex, forelimb region",16,1,2.55,-3.56,3.56,-3.45,label box,0.2885,0.4154,0.0182,0.0119,,
S1J,"primary somatosensory cortex, jaw region",16,0,2.55,-3.3,3.3,-4.53,label box,0.3016,0.5021,0.0131,0.0125,,
Tu,olfactory tubercle,16,0,2.55,1.14,1.14,-7.08,leader tip,0.53,0.7262,0.008,0.0119,0.5318,0.7083
VCl,ventral part of claustrum,16,0,2.55,-1.56,1.56,-5.41,label box,0.3917,0.573,0.0116,0.0119,,
VCl,ventral part of claustrum,16,1,2.55,1.32,1.32,-5.35,label box,0.5411,0.5682,0.012,0.0119,,
VO,ventral orbital cortex,16,0,2.55,-1.76,1.76,-5.95,label box,0.3817,0.6173,0.0098,0.0119,,
VO,ventral orbital cortex,16,1,2.55,1.58,1.58,-5.84,label box,0.5545,0.6085,0.0102,0.0114,,
VP,ventral pallidum,16,0,2.55,0.98,0.98,-6.95,label box,0.5236,0.6981,0.0098,0.0114,,
VTT,ventral tenia tecta,16,0,2.55,-0.31,0.31,-7.18,label box,0.4568,0.7163,0.0149,0.0114,,
VTT,ventral tenia tecta,16,1,2.55,0.17,0.17,-7.18,label box,0.4817,0.7165,0.0145,0.0119,,
aca,"anterior commissure, anterior part",16,0,2.55,-1.42,1.42,-6.63,label box,0.3992,0.6716,0.0127,0.0091,,
aca,"anterior commissure, anterior part",16,1,2.55,1.19,1.19,-6.59,label box,0.5343,0.6687,0.0171,0.0205,,
fmi,forceps minor of the corpus callosum,16,0,2.55,-1.43,1.43,-4.45,label box,0.3984,0.496,0.0113,0.0114,,
fmi,forceps minor of the corpus callosum,16,1,2.55,1.34,1.34,-4.51,label box,0.5422,0.5006,0.0109,0.0114,,
lo,lateral olfactory tract,16,0,2.55,1.87,1.87,-6.97,label box,0.5698,0.6994,0.0058,0.0114,,
