abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
AM,anteromedial thalamic nucleus,thalamus,25,28,4,25 26 27 28,8,4,-1.12,0.83,-5.23,4,2.037,0.898,0.72,0.8151,surface,2,-0.86,-5.26,-1.11
AmbC,"ambiguus nucleus, compact part",brainstem,52,52,1,52,2,1,-10.05,1.64,-7.37,1,0.098,0.098,0.93,0.0483,slab,2,-1.64,-7.44,-10
AmbL,"ambiguus nucleus, loose part",brainstem,55,55,1,55,2,1,-11.1,1.37,-7.07,1,0.165,0.165,0.99,0.0465,slab,2,1.53,-7.02,-11.1
AmbSC,"ambiguus nucleus, subcompact part",brainstem,53,54,2,53 54,4,2,-10.57,1.59,-7.15,2,0.267,0.144,0.59,0.1159,slab,2,1.62,-7.05,-10.58
AMV,"anteromedial thalamic nucleus, ventral part",thalamus,27,27,1,27,2,1,-1.3,0.62,-5.55,1,0.135,0.135,0.54,0.0531,slab,2,-0.5,-5.54,-1.3
AngT,angular thalamic nucleus,thalamus,28,29,2,28 29,4,2,-1.82,1.57,-4.42,2,0.657,0.349,0.91,0.2484,slab,2,1.52,-4.43,-1.81
ANS,accessory neurosecretory nuclei,hypothalamus,27,28,2,27 28,5,2,-1.65,1,-6.5,2,0.319,0.207,0.57,0.1194,slab,4,1.02,-6.5,-1.36
AOD,"anterior olfactory nucleus, dorsal part",olfactory,8,12,5,8 9 10 11 12,9,5,4.65,1.49,-5.92,5,2.009,0.747,0.33,0.8825,surface,2,1.46,-5.95,4.5
AOE,"anterior olfactory nucleus, external part",olfactory,6,10,5,6 7 8 9 10,10,5,5.17,1.84,-6.02,5,1.065,0.403,0.91,0.3725,surface,4,-1.76,-6.41,5.39
AOL,"anterior olfactory nucleus, lateral part",olfactory,6,12,7,6 7 8 9 10 11 12,13,7,5,1.61,-6.19,7,1.359,0.356,0.42,0.524,surface,5,-1.6,-6.23,4.96
AOM,"anterior olfactory nucleus, medial part",olfactory,9,13,5,9 10 11 12 13,9,5,4.3,0.72,-6.57,5,1.343,0.325,0.81,0.515,surface,2,0.8,-6.49,4.11
AOP,"anterior olfactory nucleus, posterior part",olfactory,14,16,3,14 15 16,6,3,2.9,1.1,-7.02,3,0.984,0.533,0.98,0.3739,surface,2,-1.06,-7.07,2.79
AOV,"anterior olfactory nucleus, ventral part",olfactory,8,11,4,8 9 10 11,6,4,4.83,1.31,-6.61,4,0.671,0.221,0.53,0.2113,surface,2,-1.28,-6.63,4.78
AOVP,"anterior olfactory nucleus, ventroposterior part",olfactory,11,15,5,11 12 13 14 15,9,5,3.6,0.88,-6.87,5,1.318,0.308,0.81,0.5145,surface,3,-1.05,-6.91,3.57
AP,area postrema,brainstem;ventricular,55,56,2,55 56,2,2,-11.27,0.06,-5.48,2,0.243,0.182,1,0.1046,slab,1,0.06,-5.44,-11.21
APir,amygdalopiriform transition area,amygdala;olfactory,30,35,6,30 31 32 33 34 35,10,5,-3.4,4.99,-7.55,5,8.409,2.472,0.94,2.9663,surface,2,-5.12,-7.59,-3.42
apmf,ansoparamedian fissure,cerebellum,52,55,4,52 53 54 55,8,4,-10.57,2.61,-2.7,0,,,,,,,,,
APT,anterior pretectal nucleus,visual,35,35,1,35,2,1,-4.1,1.8,-5,1,0.925,0.925,1,0.2806,slab,2,1.83,-4.85,-4.1
APTD,"anterior pretectal nucleus, dorsal part",visual,31,34,4,31 32 33 34,8,4,-3.22,1.72,-3.74,4,3.49,1.2,0.62,1.3093,surface,2,-1.76,-4.06,-3.34
APTV,"anterior pretectal nucleus, ventral part",visual,32,34,3,32 33 34,6,3,-3.4,1.7,-4.55,3,1.65,0.849,0.63,0.5978,surface,2,1.64,-4.52,-3.41
Aq,aqueduct,midbrain;ventricular,35,42,8,35 36 37 38 39 40 41 42,8,8,-5.33,0.04,-3.89,8,3.272,1.236,1,1.1201,surface,1,-0.02,-3.9,-5.93
Arc,arcuate hypothalamic nucleus,hypothalamus;thalamus,27,33,7,27 28 29 30 31 32 33,10,7,-2.53,0.17,-8.24,6,1.752,0.439,0.89,0.6976,surface,1,0.04,-8.22,-2.58
asc7,ascending fibers of the facial nerve,fiber_tract;motor,48,48,1,48,2,1,-8.65,0.77,-6.62,1,0.276,0.276,1,0.098,slab,2,-0.78,-6.64,-8.62
ASt,amygdalostriatal transition area,amygdala,26,30,5,26 27 28 29 30,10,5,-1.65,4.23,-6.14,5,1.243,0.345,0.29,0.5074,surface,2,-4.22,-6.22,-1.75
ATg,anterior tegmental nucleus,midbrain,40,41,2,40 41,4,2,-6.03,0.29,-5.88,2,0.428,0.244,0.98,0.1421,slab,2,0.24,-5.8,-6.06
Au1,primary auditory cortex,auditory;cortex,28,33,6,28 29 30 31 32 33,12,6,-2.53,6.49,-4.31,6,36.072,6.972,1,12.4276,surface,2,-6.54,-4.33,-2.45
AuD,"secondary auditory cortex, dorsal area",auditory;cortex,28,36,9,28 29 30 31 32 33 34 35 36,18,9,-3.05,5.89,-3.12,8,18.834,3.477,1,6.8565,surface,2,-5.97,-3.11,-3.18
AuV,"secondary auditory cortex, ventral area",auditory;cortex,28,36,9,28 29 30 31 32 33 34 35 36,18,9,-3.05,6.63,-5.37,9,18.734,3.755,1,6.6455,surface,2,-6.68,-4.85,-3.21
AV,anteroventral thalamic nucleus,thalamus,25,25,1,25,2,1,-0.6,1.33,-4.77,1,0.477,0.477,1,0.1935,slab,2,-1.25,-4.79,-0.57
AVDM,"anterovent thalamic nucleus, dorsomedial part",thalamus,26,28,3,26 27 28,6,3,-1.3,1.41,-4.31,3,1.491,0.792,0.88,0.5811,surface,2,1.43,-4.27,-1.26
AVPe,anteroventral periventricular nucleus,hypothalamus,23,23,1,23,1,1,0.1,0.41,-7.64,1,0.448,0.448,0.89,0.1361,slab,1,-0.37,-7.54,0.12
AVVL,"anteroventral thalamic nucleus, ventrolateral part",thalamus,26,27,2,26 27,2,2,-1.12,1.35,-4.7,2,0.882,0.517,0.91,0.2998,slab,2,-1.36,-4.76,-1.11
B,basal nucleus (Meynert),basal_forebrain,24,29,6,24 25 26 27 28 29,15,6,-0.95,2.45,-6.34,3,0.858,0.387,0.63,0.2965,surface,3,3.43,-5.99,-1.59
BAC,bed nucleus of the anterior commissure,basal_forebrain;fiber_tract,24,24,1,24,2,1,-0.25,0.67,-5.94,1,0.133,0.133,1,0.0676,slab,2,-0.68,-6,-0.26
BAOT,bed nucleus of the accessory olfactory tract,amygdala;fiber_tract;olfactory,27,27,1,27,2,1,-1.3,2.52,-7.97,1,0.424,0.424,1,0.1885,slab,2,-2.56,-8.07,-1.27
Bar,Barrington’s nucleus,brainstem,43,44,2,43 44,2,1,-7.25,1.01,-5.54,1,0.106,0.106,0.98,0.0464,slab,2,-1.02,-5.53,-7.25
bic,brachium of the inferior colliculus,auditory;fiber_tract;midbrain,36,40,5,36 37 38 39 40,10,5,-5.15,2.67,-3.37,5,2.168,0.679,0.63,0.783,surface,2,2.75,-3.93,-5.13
BIC,nucleus of the brachium of the inferior colliculus,auditory;midbrain,36,37,2,36 37,4,2,-4.62,2.8,-4.42,2,0.998,0.568,0.78,0.3601,slab,2,-2.8,-4.37,-4.67
BLA,"basolateral amygdaloid nucleus, anterior part",amygdala,25,29,5,25 26 27 28 29,10,5,-1.3,4.09,-7.04,5,5.539,1.596,0.75,2.0146,surface,2,4.09,-7,-1.39
BLP,"basolateral amygdaloid nucleus, posterior part",amygdala,27,32,6,27 28 29 30 31 32,12,6,-2.17,4.62,-7.35,6,2.215,0.63,0.96,0.816,surface,2,-4.71,-7.35,-2.18
BLV,"basolateral amygdaloid nucleus, ventral part",amygdala,25,27,3,25 26 27,6,3,-0.95,4.09,-7.76,3,1.499,0.648,0.95,0.5249,surface,2,-4.1,-7.77,-0.95
