abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
IOBe,"inferior olive, beta subnucleus",brainstem,56,58,3,56 57 58,5,3,-11.8,0.27,-7.61,3,0.637,0.411,0.47,0.2443,surface,1,0.22,-7.57,-12.01
IOC,"inferior olive, subnucleus C of medial nucleus",brainstem,56,58,3,56 57 58,4,3,-11.8,0.23,-7.79,3,0.544,0.332,0.56,0.2018,surface,1,-0.03,-7.77,-11.61
IOD,"inferior olive, dorsal nucleus",brainstem,52,56,5,52 53 54 55 56,9,5,-10.75,0.87,-8.11,3,1.185,0.578,0.95,0.517,surface,2,0.76,-8,-10.69
IODM,"inferior olive, dorsomedial cell group",brainstem,52,55,4,52 53 54 55,6,3,-10.4,0.25,-7.85,2,0.579,0.345,0.92,0.2478,surface,2,0.23,-8.07,-10.4
IOK,"inferior olive, cap of Kooy of the medial nucleus",brainstem,56,57,2,56 57,2,2,-11.62,0.21,-7.41,1,0.046,0.046,0.72,0.0211,slab,1,0.18,-7.4,-11.77
IOM,"inferior olive, medial nucleus",brainstem,52,55,4,52 53 54 55,7,4,-10.75,0.2,-8.2,4,0.732,0.328,0.99,0.2421,surface,2,-0.28,-8.16,-10.74
IOPr,"inferior olive, principal nucleus",brainstem,52,56,5,52 53 54 55 56,5,3,-10.75,0.83,-8.41,3,0.601,0.337,0.81,0.2128,surface,5,-0.66,-8.33,-10.46
IPAC,interstitial nucleus of the posterior limb of the anterior commissure,basal_forebrain;fiber_tract,22,25,4,22 23 24 25,12,4,-0.07,2.61,-6.78,4,2.683,0.915,0.65,1.0108,surface,2,-2.56,-6.94,0.07
IPC,"interpeduncular nucleus, caudal subnucleus",midbrain,37,40,4,37 38 39 40,4,4,-5.33,0.03,-7.11,4,0.723,0.252,0.39,0.2576,surface,1,-0.02,-7.12,-5.29
IPD,"interpeduncular nucleus, dorsal subnucleus",midbrain,38,38,1,38,1,1,-5.15,0.32,-6.95,1,0.09,0.09,1,0.0359,slab,1,-0.28,-7.06,-5.16
IPF,interpeduncular fossa,midbrain,36,36,1,36,1,1,-4.45,0.11,-7.03,0,,,,,,,,,
IPI,"interpeduncular nucleus, intermediate subnucleus",midbrain,38,39,2,38 39,1,1,-5.15,0.3,-7.15,1,0.075,0.075,1,0.0306,slab,1,0.3,-7.08,-5.18
IPl,internal plexiform layer of the olfactory bulb,olfactory,1,10,10,1 2 3 4 5 6 7 8 9 10,17,10,6.4,1.29,-4.85,10,3.467,1.323,0.81,0.7861,surface,13,0.64,-5.41,7.79
IPL,"interpeduncular nucleus, lateral subnucleus",midbrain,37,39,3,37 38 39,2,2,-4.97,0.37,-7,2,0.25,0.17,0.98,0.0976,slab,2,0.34,-6.89,-4.97
IPR,"interpeduncular nucleus, rostral subnucleus",midbrain,37,38,2,37 38,2,2,-4.97,0.03,-6.72,2,0.217,0.117,0.98,0.0875,slab,1,-0.06,-6.71,-4.93
IRt,intermediate reticular nucleus,brainstem,46,62,17,46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,37,17,-10.75,1.11,-6.78,16,11.697,1.4,0.5,4.4103,surface,4,-1.14,-6.86,-10.13
isRt,isthmic reticular formation,midbrain,39,42,4,39 40 41 42,8,4,-6.03,1.17,-5.03,4,3.642,2.276,0.23,1.2574,surface,2,1.33,-5.06,-5.95
IVF,interventricular foramen,ventricular,25,25,1,25,1,1,-0.6,0.09,-4.68,1,0.874,0.874,1,0.338,slab,1,0.14,-4.67,-0.57
KF,Kölliker–Fuse nucleus,brainstem,43,44,2,43 44,3,2,-6.9,2.24,-5.66,2,0.206,0.155,0.98,0.0695,slab,2,2.16,-5.61,-7.06
La,lateral amygdaloid nucleus,amygdala,26,31,6,26 27 28 29 30 31,4,3,-2,4.91,-6.48,3,0.692,0.293,0.97,0.3019,surface,4,4.64,-6.49,-1.3
LA,lateroanterior hypothalamic nucleus,hypothalamus;thalamus,25,26,2,25 26,4,2,-0.77,0.74,-7.71,2,0.811,0.66,0.29,0.2845,slab,2,-0.8,-7.69,-0.85
LAcbSh,lateral accumbens shell,basal_forebrain,19,21,3,19 20 21,6,3,1.15,1.64,-7.01,3,3.924,1.489,0.77,1.3663,surface,2,-1.27,-6.97,1.14
LaD,"lateral amygdaloid nucleus, dorsal part",amygdala,27,30,4,27 28 29 30,7,4,-2,5.05,-6.07,4,0.964,0.364,1,0.3329,surface,2,-5.15,-6.17,-2.01
Lat,lateral (dentate) cerebellar nucleus,cerebellum,46,49,4,46 47 48 49,10,4,-8.65,2.72,-4.16,4,2.43,0.84,0.28,1.1553,surface,2,2.78,-4.14,-8.35
LatPC,"lateral cerebellar nucleus, parvicellular part",cerebellum,46,48,3,46 47 48,6,3,-8.3,2.82,-4.69,3,0.703,0.314,0.93,0.3188,surface,2,2.78,-4.68,-8.37
LaV,"lateral amygdaloid nucleus, ventral part",amygdala,27,30,4,27 28 29 30,7,4,-2,4.71,-6.61,4,4.124,1.454,0.95,1.403,surface,2,-4.74,-6.68,-1.97
LC,locus coeruleus,monoaminergic,44,45,2,44 45,2,2,-7.42,0.98,-5.25,1,0.109,0.109,0.95,0.0471,slab,2,1,-5.43,-7.59
Ld,lambdoid septal zone,basal_forebrain,19,21,3,19 20 21,2,2,0.97,0.04,-5.2,2,0.643,0.555,0.92,0.1874,slab,1,0.02,-5.27,0.88
LDDM,"laterodorsal thalamic nucleus, dorsomedial part",thalamus,27,28,2,27 28,4,2,-1.48,1.77,-3.68,2,1.431,1.149,0.98,0.4715,slab,2,-1.77,-3.75,-1.55
LDTg,laterodorsal tegmental nucleus,midbrain,42,44,3,42 43 44,4,2,-6.9,0.73,-5.14,2,0.972,0.519,0.96,0.4035,surface,2,0.68,-5.18,-6.91
LDTgV,"laterodorsal tegmental nucleus, ventral part",midbrain,43,43,1,43,2,1,-6.9,1.1,-5.44,1,0.238,0.238,0.97,0.0845,slab,2,0.97,-5.43,-6.88
LDVL,"laterodorsal thalamic nucleus, ventrolateral part",thalamus,27,29,3,27 28 29,6,3,-1.65,2.05,-3.73,3,1.859,0.932,0.99,0.5226,surface,2,-2,-3.79,-1.78
LEnt,lateral entorhinal cortex,cortex;hippocampal,29,41,13,29 30 31 32 33 34 35 36 37 38 39 40 41,25,13,-4.1,5.8,-6.47,13,31.922,6.039,0.2,11.492,surface,3,-5.25,-5.51,-5.1
lfp,longitudinal fasciculus of the pons,fiber_tract,40,43,4,40 41 42 43,8,4,-6.38,0.64,-7.83,4,1.673,0.527,0.71,0.4968,surface,2,0.72,-7.81,-6.4
LHb,lateral habenular nucleus,thalamus,28,31,4,28 29 30 31,4,2,-2.17,0.61,-3.9,2,0.559,0.403,1,0.3511,surface,3,-0.64,-3.93,-2.34
LHbL,"lateral habenular nucleus, lateral part",thalamus,29,30,2,29 30,1,1,-2.35,0.84,-3.9,1,0.191,0.191,0.97,0.0388,slab,1,-0.89,-3.98,-2.35
LHbM,"lateral habenular nucleus, medial part",thalamus,29,30,2,29 30,1,1,-2.35,0.6,-3.88,1,0.304,0.304,1,0.0553,slab,1,0.78,-3.94,-2.35
Li,linear nucleus of the medulla,brainstem,51,53,3,51 52 53,9,3,-10.05,1.1,-7.02,3,0.622,0.28,0.69,0.1751,surface,4,1.83,-6.94,-9.79
ll,lateral lemniscus,auditory;fiber_tract,39,43,5,39 40 41 42 43,17,5,-6.2,2.12,-5.95,5,3.756,1.317,0.88,0.9843,surface,8,2.24,-5.78,-5.78
LM,lateral mammillary nucleus,hypothalamus,33,35,3,33 34 35,6,3,-3.75,1.04,-7.46,3,0.655,0.284,0.98,0.2808,surface,2,1.01,-7.39,-3.67
LMol,lacunosum moleculare layer of the hippocampus,hippocampal,29,36,8,29 30 31 32 33 34 35 36,16,8,-3.22,4.6,-3.51,8,15.284,3.607,0.92,5.5331,surface,2,3.58,-3.49,-3.55
LNTB,lateral nucleus of the trapezoid body,auditory,44,47,4,44 45 46 47,6,4,-7.78,1.95,-8.42,3,0.335,0.14,0.88,0.121,slab,3,-1.87,-8.22,-7.43
lo,lateral olfactory tract,fiber_tract;olfactory,5,25,21,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,37,21,2.55,2.12,-6.97,19,6.644,0.817,0.6,2.2968,surface,6,-2.64,-7.37,1.59
LO,lateral orbital cortex,cortex,8,16,9,8 9 10 11 12 13 14 15 16,17,9,3.95,1.55,-5.24,9,9.02,1.929,0.3,3.2795,surface,3,-1.67,-5.37,3.81
LOT,nucleus of the lateral olfactory tract,fiber_tract;olfactory,25,26,2,25 26,4,2,-0.77,2.61,-8,2,0.496,0.255,0.66,0.2139,slab,2,-2.64,-8.07,-0.73
LPAG,lateral periaqueductal gray,midbrain;ventricular,35,42,8,35 36 37 38 39 40 41 42,16,8,-5.33,0.67,-3.99,8,6.544,1.139,0.81,2.3996,surface,1,0,-4.01,-5.5
LPB,lateral parabrachial nucleus,brainstem,45,45,1,45,2,1,-7.6,2.2,-5.34,1,0.467,0.467,1,0.1774,slab,2,-1.68,-5.26,-7.63
LPBC,"lateral parabrachial nucleus, central part",brainstem,43,44,2,43 44,4,2,-7.08,1.82,-4.92,2,0.928,0.485,0.79,0.3761,slab,2,1.88,-5.04,-7.09
LPBCr,"lateral parabrachial nucleus, crescent part",brainstem,44,44,1,44,2,1,-7.25,2.16,-5.08,1,0.184,0.184,1,0.1114,slab,2,2.11,-4.99,-7.3
LPBI,"lateral parabrachial nucleus, internal part",brainstem,43,45,3,43 44 45,4,2,-7.08,1.32,-4.62,2,0.772,0.616,0.79,0.2584,slab,3,1.39,-4.69,-6.99
LPGi,lateral paragigantocellular nucleus,brainstem,51,53,3,51 52 53,6,3,-10.05,1.05,-8.01,3,2.609,1.311,0.32,0.8264,surface,2,1.1,-7.79,-10.16
LPGiA,"lateral paragigantocellular nucleus, alpha part",brainstem,48,50,3,48 49 50,6,3,-9,0.59,-8.04,3,1.603,0.742,0.93,0.5583,surface,2,0.62,-8.05,-9.06
LPGiE,"lateral paragigantocellular nucleus, external part",brainstem,48,50,3,48 49 50,6,3,-9,0.89,-8.34,3,0.871,0.361,0.99,0.3436,surface,2,0.92,-8.33,-9
LPLC,"lateral posterior thalamic nucleus, laterocaudal part",thalamus,32,33,2,32 33,4,2,-3.22,2.61,-4.02,2,1.291,0.687,0.96,0.4353,slab,2,2.44,-3.87,-3.23
LPLR,"lateral posterior thalamic nucleus, laterorostral part",thalamus,29,31,3,29 30 31,6,3,-2.35,2.84,-3.7,3,2.925,1.105,1,0.965,surface,2,-2.75,-3.8,-2.28
LPMC,"lateral posterior thalamic nucleus, mediocaudal part",thalamus,32,34,3,32 33 34,6,3,-3.4,2.73,-3.66,3,2.117,0.779,0.97,0.7276,surface,2,-2.71,-3.74,-3.37
LPMR,"lateral posterior thalamic nucleus, mediorostral part",thalamus,29,32,4,29 30 31 32,8,4,-2.53,2,-3.74,4,3.484,1.431,1,1.193,surface,2,-1.92,-3.72,-2.46
LPO,lateral preoptic area,hypothalamus;visual,22,25,4,22 23 24 25,8,4,-0.07,0.96,-7.09,4,4.734,2.067,0.13,1.7506,surface,2,0.95,-7.26,-0.06
LPtA,lateral parietal association cortex,cortex,28,30,3,28 29 30,4,3,-1.82,2.95,-1.65,2,4.595,2.817,1,1.3134,slab,2,-3.53,-1.54,-2.2
LR4V,lateral recess of the 4th ventricle,ventricular,45,51,7,45 46 47 48 49 50 51,9,7,-9,2.89,-4.9,5,1.556,0.843,0.58,0.5628,surface,4,-2.34,-4.75,-9.21
LRt,lateral reticular nucleus,brainstem,54,59,6,54 55 56 57 58 59,14,6,-11.45,1.4,-7.54,6,3.076,0.837,0.8,1.1754,surface,4,1.33,-7.51,-11.43
LRtPC,"lateral reticular nucleus, parvicellular part",brainstem,56,58,3,56 57 58,4,3,-11.8,1.74,-7.99,3,0.264,0.145,1,0.0609,surface,3,-1.71,-7.96,-11.58
LRtS5,"lateral reticular nucleus, subtrigeminal part",brainstem;somatosensory,55,56,2,55 56,3,2,-11.1,1.97,-7.28,2,0.42,0.269,0.8,0.1306,slab,2,1.95,-7.38,-11.29
LSD,"lateral septal nucleus, dorsal part",basal_forebrain,19,25,7,19 20 21 22 23 24 25,14,7,0.45,0.6,-4.17,7,3.176,0.78,0.86,1.1684,surface,1,-0.18,-3.98,0.4
LSI,"lateral septal nucleus, intermediate part",basal_forebrain,18,23,6,18 19 20 21 22 23,12,6,0.97,0.36,-5.26,6,6.332,1.346,0.9,2.2914,surface,1,0,-5.21,0.85
LSO,lateral superior olive,auditory;brainstem,45,47,3,45 46 47,5,3,-7.95,1.66,-7.91,3,1.865,0.862,0.99,0.7221,surface,2,-1.68,-7.8,-7.98
LSS,lateral stripe of the striatum,basal_forebrain;motor,21,23,3,21 22 23,5,3,0.45,2.44,-7.02,3,0.405,0.155,1,0.1411,surface,3,2.62,-7.05,0.32
LSV,"lateral septal nucleus, ventral part",basal_forebrain,19,23,5,19 20 21 22 23,10,5,0.8,0.72,-5.4,5,3.28,0.97,0.9,1.1634,surface,2,0.72,-5.35,0.61
LT,lateral terminal nucleus of the accessory optic tract,fiber_tract;visual,33,33,1,33,2,1,-3.4,3.29,-5.5,1,0.148,0.148,1,0.0599,slab,2,3.33,-5.41,-3.42
LTer,lemina terminalis,ventricular,24,24,1,24,1,1,-0.25,0.06,-5.36,1,0.117,0.117,1,0.0776,slab,1,-0.02,-5.5,-0.24
Lth,lithoid nucleus,thalamus,33,33,1,33,2,1,-3.4,0.48,-4.76,1,0.156,0.156,1,0.059,slab,2,-0.55,-4.78,-3.39
LV,lateral ventricle,ventricular,17,32,16,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,23,13,-1.65,3.19,-4.07,11,4.025,0.82,0.68,1.0848,surface,12,4.07,-3.4,-2.1
LVe,lateral vestibular nucleus,vestibular,47,49,3,47 48 49,6,3,-8.65,1.79,-5.28,3,2.268,1.248,0.78,0.7895,surface,2,1.84,-5.31,-8.68
LVPO,lateroventral periolivary nucleus,auditory,44,47,4,44 45 46 47,7,4,-7.95,2.22,-8.2,2,0.239,0.123,1,0.0569,slab,6,2.15,-8.12,-8.06
M1,primary motor cortex,cortex;motor,11,28,18,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,35,18,1.5,1.91,-2.15,18,46.015,4.157,1,16.4004,surface,3,2.05,-2.5,1.82
M2,secondary motor cortex,cortex;motor,10,28,19,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,38,19,1.5,1.08,-2.11,19,53.487,4.939,0.99,18.9956,surface,2,-1.17,-2.52,1.99
m5,motor root of the trigeminal nerve,fiber_tract;motor;somatosensory,43,45,3,43 44 45,6,3,-7.25,2.16,-6.57,3,1.589,0.567,0.87,0.5816,surface,2,2.17,-6.45,-7.26
MA3,medial accessory oculomotor nucleus,midbrain;motor,34,35,2,34 35,4,2,-3.92,0.24,-5.72,2,0.333,0.17,0.66,0.1525,slab,1,-0.1,-5.75,-3.92
mcer,middle cerebral artery,vascular;ventricular,23,23,1,23,2,1,0.1,2.8,-8.43,0,,,,,,,,,
mch,medial corticohypothalamic tract,fiber_tract;hypothalamus;thalamus,25,25,1,25,2,1,-0.6,0.23,-5.96,1,0.322,0.322,0.92,0.1333,slab,2,-0.04,-5.91,-0.58
MCLH,magnocellular nucleus of the lateral hypothalamus,hypothalamus;thalamus,29,29,1,29,1,1,-2,1.65,-7,1,0.179,0.179,0.96,0.051,slab,2,1.68,-6.9,-2.08
mcp,middle cerebellar peduncle,cerebellum;fiber_tract,40,46,7,40 41 42 43 44 45 46,14,7,-6.9,2.8,-5.4,7,9.341,1.958,0.19,3.2888,surface,1,0.65,-5.64,-6.96
MCPC,magnocellular nucleus of the posterior commissure,fiber_tract,33,34,2,33 34,4,2,-3.58,0.87,-4.58,2,1.198,0.882,0.91,0.411,slab,2,1.01,-4.83,-3.49
MCPO,magnocellular preoptic nucleus,basal_forebrain;hypothalamus;visual,23,25,3,23 24 25,6,3,-0.25,1.94,-7.77,2,1.244,0.77,0.99,0.464,slab,2,-2.21,-7.86,-0.1
MD,mediodorsal thalamic nucleus,thalamus,27,27,1,27,2,1,-1.3,0.38,-4.53,1,0.464,0.464,1,0.1541,slab,2,0.4,-4.52,-1.3
MDC,"mediodorsal thalamic nucleus, central part",thalamus,28,30,3,28 29 30,6,3,-2,0.66,-4.49,3,4.6,1.788,0.64,1.6378,surface,1,-0.04,-4.59,-2.03
MdD,"medullary reticular nucleus, dorsal part",brainstem,55,62,8,55 56 57 58 59 60 61 62,16,8,-12.32,0.98,-6.43,8,6.651,1.249,0.63,2.4259,surface,2,-1.17,-6.52,-12.05
MDL,"mediodorsal thalamic nucleus, lateral part",thalamus,28,30,3,28 29 30,6,3,-2,1.04,-4.35,3,0.864,0.35,0.47,0.2098,surface,6,-1.19,-4.27,-2.4
MDM,"mediodorsal thalamic nucleus, medial part",thalamus,28,30,3,28 29 30,6,3,-2,0.42,-4.25,3,0.563,0.207,0.46,0.2218,surface,2,-0.44,-4.23,-1.98
MdV,"medullary reticular nucleus, ventral part",brainstem,55,62,8,55 56 57 58 59 60 61 62,15,8,-12.5,0.81,-7.12,8,8.124,1.617,0.65,2.8889,surface,4,0.78,-7.1,-12.11
ME,median eminence,hypothalamus;ventricular,30,32,3,30 31 32,3,3,-2.7,0.18,-8.61,3,0.204,0.102,0.7,0.0659,surface,1,0.17,-8.6,-2.65
Me5,mesencephalic trigeminal nucleus,midbrain;somatosensory,38,45,8,38 39 40 41 42 43 44 45,14,8,-6.2,1.21,-4.09,8,2.42,0.65,0.57,0.7035,surface,3,0.21,-4.19,-6.26
me5,mesencephalic trigeminal tract,fiber_tract;somatosensory,43,45,3,43 44 45,2,2,-7.42,1.25,-5.48,2,0.644,0.579,0.99,0.1436,slab,2,-1.46,-5.44,-7.35
MeAD,"medial amygdaloid nucleus, anterodorsal part",amygdala,26,27,2,26 27,4,2,-1.12,2.48,-7.42,2,1.103,0.565,0.89,0.4145,slab,2,2.47,-7.4,-1.11
MeAV,"medial amygdaloid nucleus, anteroventral part",amygdala,27,27,1,27,2,1,-1.3,2.72,-7.57,1,0.879,0.879,0.96,0.2713,slab,2,-2.73,-7.62,-1.3
Med,medial (fastigial) cerebellar nucleus,cerebellum,47,50,4,47 48 49 50,8,4,-8.82,0.83,-4.26,4,1.559,0.644,0.79,0.8125,surface,2,-0.7,-4.21,-8.87
MedDL,"medial cerebellar nucleus, dorsolateral protuberance",cerebellum,49,50,2,49 50,4,2,-9.18,1.04,-3.69,2,0.716,0.509,0.81,0.3838,slab,2,1.14,-3.64,-9.26
MedL,"medial cerebellar nucleus, lateral part",cerebellum,49,50,2,49 50,4,2,-9.18,1.2,-4.33,2,0.762,0.417,0.83,0.3284,slab,2,-1.26,-4.37,-9.18
MEnt,medial entorhinal cortex,cortex;hippocampal,34,41,8,34 35 36 37 38 39 40 41,14,8,-4.97,4.76,-6.52,8,9.792,3.203,0.29,3.3214,surface,4,-4.21,-6.92,-4.08
MePD,"medial amygdaloid nucleus, posterodorsal part",amygdala,27,29,3,27 28 29,6,3,-1.65,2.96,-6.86,3,2.721,1.314,0.9,1.1313,surface,2,2.94,-6.79,-1.69
MePV,"medial amygdaloid nucleus, posteroventral part",amygdala,28,29,2,28 29,4,2,-1.82,2.51,-7.56,2,1.632,1.197,0.99,0.5354,slab,2,-2.65,-7.73,-1.75
mfb,medial forebrain bundle,fiber_tract,19,32,14,19 20 21 22 23 24 25 26 27 28 29 30 31 32,13,7,0.45,1.18,-7.53,6,2.996,1.429,0.52,0.9075,surface,5,-1.4,-7.57,0.84
MGD,"medial geniculate nucleus, dorsal part",auditory;thalamus;visual,33,36,4,33 34 35 36,8,4,-3.92,2.91,-4.26,4,2.61,1.196,0.93,0.9741,surface,2,-3,-4.32,-3.96
MGM,"medial geniculate nucleus, medial part",auditory;thalamus;visual,33,36,4,33 34 35 36,8,4,-3.92,2.48,-5.19,4,1.236,0.438,0.96,0.4606,surface,2,2.53,-5.15,-3.99
MGV,"medial geniculate nucleus, ventral part",auditory;thalamus;visual,33,36,4,33 34 35 36,8,4,-3.92,3.2,-4.81,4,5.775,2.068,0.85,2.0386,surface,2,3.11,-4.79,-3.89
MHb,medial habenular nucleus,thalamus,27,31,5,27 28 29 30 31,10,5,-2,0.33,-3.66,5,1.2,0.307,0.51,0.4468,surface,3,-0.37,-3.68,-1.88
Mi,mitral cell layer of the olfactory bulb,olfactory,1,10,10,1 2 3 4 5 6 7 8 9 10,16,10,6.58,1.6,-4.86,10,2.183,0.631,0.81,0.516,surface,9,-0.93,-5.58,6.63
MiA,mitral cell layer of the accessory olfactory bulb,olfactory,5,9,5,5 6 7 8 9,9,5,5.7,1.37,-5.34,5,1.36,0.407,0.97,0.4209,surface,4,-1.22,-5.43,5.35
MiTg,microcellular tegmental nucleus,midbrain,38,39,2,38 39,4,2,-5.33,2.18,-4.94,2,2.755,2.041,0.59,0.8561,slab,2,1.97,-4.94,-5.25
ml,medial lemniscus,fiber_tract,28,54,27,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54,48,25,-5.67,0.77,-6.89,25,9.708,1.761,0.63,3.5259,surface,5,-0.04,-8.21,-7.54
ML,"medial mammillary nucleus, lateral part",hypothalamus,34,36,3,34 35 36,5,3,-4.1,0.58,-7.61,2,1.964,1.124,0.97,0.6483,slab,1,-0.07,-7.6,-3.88
mlf,medial longitudinal fasciculus,fiber_tract,37,62,26,37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,39,24,-9.35,0.23,-6.41,24,5.087,0.474,0.24,1.9418,surface,3,0,-6.8,-10.6
mlx,medial lemniscal decussation,fiber_tract,56,56,1,56,1,1,-11.45,0.04,-6.85,1,0.442,0.442,0.94,0.1278,slab,1,0.31,-7.34,-11.47
MM,"medial mammillary nucleus, medial part",hypothalamus,34,35,2,34 35,2,2,-3.92,0.1,-7.5,2,0.506,0.336,1,0.1719,slab,1,-0.07,-7.49,-3.94
MnA,median accessory nucleus of the medulla,brainstem,59,62,4,59 60 61 62,4,4,-13.02,0.04,-6.28,4,0.452,0.188,0.48,0.139,surface,2,0,-6.13,-12.64
MnM,"medial mammillary nucleus, median part",hypothalamus,34,34,1,34,1,1,-3.75,0.06,-7.26,1,0.085,0.085,1,0.0311,slab,1,0.04,-7.27,-3.73
MnPO,median preoptic nucleus,hypothalamus;visual,22,24,3,22 23 24,3,3,0.1,0.06,-6.35,3,0.801,0.39,0.96,0.2986,surface,1,-0.06,-6.88,0.24
MnR,median raphe nucleus,brainstem;monoaminergic,39,43,5,39 40 41 42 43,5,5,-6.2,0.02,-6.53,5,1.526,0.49,0.97,0.5244,surface,1,-0.03,-6.58,-6.29
MNTB,medial nucleus of the trapezoid body,auditory,43,47,5,43 44 45 46 47,8,5,-7.42,0.81,-8.27,5,1.388,0.453,0.93,0.5584,surface,2,-0.81,-8.27,-7.57
MO,medial orbital cortex,cortex,8,14,7,8 9 10 11 12 13 14,13,7,4.3,0.46,-5,6,6.006,1.649,0.49,2.1629,surface,1,-0.04,-5.03,4.27
MoDG,molecular layer of the dentate gyrus,hippocampal,27,37,11,27 28 29 30 31 32 33 34 35 36 37,27,11,-3.05,2.99,-3.53,10,24.886,4.602,0.9,8.9251,surface,2,3.35,-4.05,-3.54
MoS,molecular layer of the subiculum,hippocampal,37,37,1,37,2,1,-4.8,4.67,-3.94,1,3.301,3.301,1,0.9769,slab,2,4.59,-4.2,-4.8
mp,mammillary peduncle,fiber_tract;hypothalamus,35,36,2,35 36,4,2,-4.28,0.63,-7.08,2,0.231,0.125,1,0.0983,slab,3,0.63,-7.07,-4.28
MPA,medial preoptic area,hypothalamus;visual,22,25,4,22 23 24 25,7,4,-0.25,0.59,-7.12,4,2.399,1.108,0.19,0.7719,surface,2,0.12,-7.47,0.18
MPB,medial parabrachial nucleus,brainstem,43,45,3,43 44 45,3,2,-6.9,1.7,-5.38,2,0.797,0.563,0.98,0.3495,surface,2,1.56,-5.36,-7.25
MPBE,"medial parabrachial nucleus, external part",brainstem,44,44,1,44,2,1,-7.25,1.92,-5.47,1,0.124,0.124,0.98,0.0473,slab,2,-1.98,-5.45,-7.17
MPL,"paralemniscal nucleus, medial part",auditory,41,42,2,41 42,4,2,-6.38,1.93,-6.08,2,1.074,0.685,0.72,0.364,slab,2,-1.98,-5.91,-6.4
MPO,medial preoptic nucleus,hypothalamus;visual,24,25,2,24 25,4,2,-0.42,0.29,-7.36,2,2.505,1.557,0.21,0.831,slab,1,-0.36,-7.11,-0.46
MPT,medial pretectal nucleus,visual,32,32,1,32,2,1,-3.05,0.84,-3.61,1,0.649,0.649,0.99,0.1968,slab,2,-0.92,-3.55,-3.05
MPtA,medial parietal association cortex,cortex,28,30,3,28 29 30,5,3,-2,2.08,-1.26,3,7.655,3.248,1,2.7579,surface,2,2.05,-1.22,-2.08
MRe,mammillary recess of the 3rd ventricle,hypothalamus;ventricular,34,34,1,34,1,1,-3.75,0.13,-7.96,1,0.107,0.107,1,0.0381,slab,1,0.08,-7.92,-3.72
mRt,mesencehalic reticular formation,midbrain,36,38,3,36 37 38,6,3,-4.8,1.43,-4.95,3,10.346,5.105,0.84,3.3348,surface,2,-1.54,-5.06,-4.73
MS,medial septal nucleus,basal_forebrain,19,23,5,19 20 21 22 23,6,5,0.97,0.05,-5.87,5,2.358,1.014,0.79,0.8564,surface,1,-0.02,-5.85,0.64
MSO,medial superior olive,auditory;brainstem,44,47,4,44 45 46 47,7,4,-7.95,1.31,-8.3,4,1.2,0.454,0.82,0.5006,surface,2,-1.37,-8.23,-7.62
mt,mammillothalamic tract,fiber_tract;thalamus,27,33,7,27 28 29 30 31 32 33,15,7,-2.35,0.66,-6.28,7,1.74,0.563,0.96,0.7043,surface,3,0.64,-6.34,-2.48
MT,medial terminal nucleus of the accessory optic tract,fiber_tract;visual,35,35,1,35,2,1,-4.1,1.05,-7.07,1,0.107,0.107,0.76,0.0433,slab,2,0.91,-7.06,-4.08
mtg,mammillotegmental tract,fiber_tract;hypothalamus;midbrain,33,33,1,33,2,1,-3.4,0.44,-6.42,1,0.119,0.119,0.94,0.0635,slab,2,0.48,-6.32,-3.41
MTu,medial tuberal nucleus,hypothalamus,29,31,3,29 30 31,4,3,-2.53,1.21,-7.8,3,0.774,0.394,0.76,0.2624,surface,2,1.01,-7.87,-2.23
MVe,medial vestibular nucleus,vestibular,53,53,1,53,2,1,-10.4,0.77,-5.49,1,0.394,0.394,0.79,0.116,slab,2,-0.79,-5.46,-10.4
MVeMC,"medial vestibular nucleus, magnocellular part",vestibular,46,52,7,46 47 48 49 50 51 52,13,7,-9,1.16,-5.88,7,5.109,0.982,0.81,1.804,surface,2,1.21,-5.79,-8.91
MVePC,"medial vestibular nucleus, parvicellular part",vestibular,46,52,7,46 47 48 49 50 51 52,13,7,-9,0.77,-5.47,7,6.512,1.405,0.85,2.3895,surface,3,-0.79,-5.44,-8.86
MVPO,medioventral periolivary nucleus,auditory,44,47,4,44 45 46 47,8,4,-7.78,1.7,-8.61,4,0.739,0.282,0.95,0.22,surface,3,1.09,-8.22,-7.34
Mx,matrix region of the medulla,brainstem,50,59,10,50 51 52 53 54 55 56 57 58 59,18,10,-11.1,1.12,-5.96,10,1.544,0.313,0.66,0.4813,surface,3,1.36,-5.86,-10.87
