abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
8Cb,8th cerebellar lobule,51–58,51–58,51,58,8,51 52 53 54 55 56 57 58,
8n,vestibulocochlear nerve,46–48,46–48,46,48,3,46 47 48,
9aCb,"9th cerebellar lobule, a",52–59,52–59,52,59,8,52 53 54 55 56 57 58 59,
9bCb,"9th cerebellar lobule, b",52–59,52–59,52,59,8,52 53 54 55 56 57 58 59,
9Cb,9th cerebellar lobule,50–51,50–51,50,51,2,50 51,
9cCb,"9th cerebellar lobule, c",52–59,52–59,52,59,8,52 53 54 55 56 57 58 59,
9N,glossopharyngeal nerve nucleus,62,62,62,62,1,62,
A1,primary auditory field,29–33,29–33,29,33,5,29 30 31 32 33,
A11,A11 dopamine cells,30–31,30–31,30,31,2,30 31,
A13,A13 dopamine cells,28–29,28–29,28,29,2,28 29,
A5,A5 noradrenaline cells,44–47,44–47,44,47,4,44 45 46 47,
AA,anterior amygdaloid area,24–26,24–26,24,26,3,24 25 26,
AAF,anterior auditory field,28–29,28–29,28,29,2,28 29,
aca,"anterior commissure, anterior part",11–24,11–24,11,24,14,11 12 13 14 15 16 17 18 19 20 21 22 23 24,
AcbC,"accumbens nucleus, core",16–21,16–21,16,21,6,16 17 18 19 20 21,
AcbSh,"accumbens nucleus, shell",16–21,16–21,16,21,6,16 17 18 19 20 21,
acer,anterior cerebral artery,23,23,23,23,1,23,
aci,"anterior commissure, intrabulbar part",1–10,1–10,1,10,10,1 2 3 4 5 6 7 8 9 10,
ACo,anterior cortical amygdaloid nucleus,24–28,24–28,24,28,5,24 25 26 27 28,
acp,"anterior commissure, posterior part",23–25,23–25,23,25,3,23 24 25,
AD,anterodorsal thalamic nucleus,26–27,26–27,26,27,2,26 27,
af,amygdaloid fissure,31–32,31–32,31,32,2,31 32,
AHA,"anterior hypothalamic area, anterior part",25–26,25–26,25,26,2,25 26,
AHC,"anterior hypothalamic area, central part",27–28,27–28,27,28,2,27 28,
AHi,amygdalohippocampal area,29–33,29–33,29,33,5,29 30 31 32 33,
AHP,"anterior hypothalamic area, posterior part",28,28,28,28,1,28,
AI,agranular insular cortex,11–27,11–27,11,27,17,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,
ALPO,anterolateral periolivary nucleus,44,44,44,44,1,44,
alv,alveus of the hippocampus,27–38,27–38,27,38,12,27 28 29 30 31 32 33 34 35 36 37 38,
AM,anteromedial thalamic nucleus,25–28,25–28,25,28,4,25 26 27 28,
AmbC,"ambiguus nucleus, compact part",52,52,52,52,1,52,
AmbL,"ambiguus nucleus, loose part",55,55,55,55,1,55,
AmbSC,"ambiguus nucleus, subcompact part",53–54,53–54,53,54,2,53 54,
AMV,"anteromedial thalamic nucleus, ventral part",27,27,27,27,1,27,
AngT,angular thalamic nucleus,28–28,28–28,28,29,2,28 29,"printed with a dash and no second plate; read as 28-29, the abbreviation being printed on plate 29 too"
ANS,accessory neurosecretory nuclei,27–28,27–28,27,28,2,27 28,
AOD,"anterior olfactory nucleus, dorsal part",8–12,8–12,8,12,5,8 9 10 11 12,
AOE,"anterior olfactory nucleus, external part",6–10,6–10,6,10,5,6 7 8 9 10,
AOL,"anterior olfactory nucleus, lateral part",6–12,6–12,6,12,7,6 7 8 9 10 11 12,
AOM,"anterior olfactory nucleus, medial part",9–13,9–13,9,13,5,9 10 11 12 13,
AOP,"anterior olfactory nucleus, posterior part",14–16,14–16,14,16,3,14 15 16,
AOV,"anterior olfactory nucleus, ventral part",8–11,8–11,8,11,4,8 9 10 11,
AOVP,"anterior olfactory nucleus, ventroposterior part",11–15,11–15,11,15,5,11 12 13 14 15,
AP,area postrema,55–56,55–56,55,56,2,55 56,
APir,amygdalopiriform transition area,30–35,30–35,30,35,6,30 31 32 33 34 35,
apmf,ansoparamedian fissure,52–55,52–55,52,55,4,52 53 54 55,
APT,anterior pretectal nucleus,35,35,35,35,1,35,
APTD,"anterior pretectal nucleus, dorsal part",31–34,31–34,31,34,4,31 32 33 34,
APTV,"anterior pretectal nucleus, ventral part",32–34,32–34,32,34,3,32 33 34,
Aq,aqueduct,35–42,35–42,35,42,8,35 36 37 38 39 40 41 42,
Arc,arcuate hypothalamic nucleus,27–33,27–33,27,33,7,27 28 29 30 31 32 33,
asc7,ascending fibers of the facial nerve,48,48,48,48,1,48,
ASt,amygdalostriatal transition area,26–30,26–30,26,30,5,26 27 28 29 30,
ATg,anterior tegmental nucleus,40–41,40–41,40,41,2,40 41,
Au1,primary auditory cortex,28–33,28–33,28,33,6,28 29 30 31 32 33,
AuD,"secondary auditory cortex, dorsal area",28–36,28–36,28,36,9,28 29 30 31 32 33 34 35 36,
AuV,"secondary auditory cortex, ventral area",28–36,28–36,28,36,9,28 29 30 31 32 33 34 35 36,
AV,anteroventral thalamic nucleus,25,25,25,25,1,25,
AVDM,"anterovent thalamic nucleus, dorsomedial part",26–28,26–28,26,28,3,26 27 28,
AVPe,anteroventral periventricular nucleus,23,23,23,23,1,23,
AVVL,"anteroventral thalamic nucleus, ventrolateral part",26–27,26–27,26,27,2,26 27,
B,basal nucleus (Meynert),24–29,24–29,24,29,6,24 25 26 27 28 29,
BAC,bed nucleus of the anterior commissure,24,24,24,24,1,24,
BAOT,bed nucleus of the accessory olfactory tract,27,27,27,27,1,27,
Bar,Barrington’s nucleus,43–44,43–44,43,44,2,43 44,"an apostrophe: Barrington's, set as a right single quote"
BIC,nucleus of the brachium of the inferior colliculus,36–37,36–37,36,37,2,36 37,
bic,brachium of the inferior colliculus,36–40,36–40,36,40,5,36 37 38 39 40,
BLA,"basolateral amygdaloid nucleus, anterior part",25–29,25–29,25,29,5,25 26 27 28 29,
BLP,"basolateral amygdaloid nucleus, posterior part",27–32,27–32,27,32,6,27 28 29 30 31 32,
BLV,"basolateral amygdaloid nucleus, ventral part",25–27,25–27,25,27,3,25 26 27,
BMA,"basomedial amygdaloid nucleus, anterior part",25–27,25–27,25,27,3,25 26 27,
BMP,"basomedial amygdaloid nucleus, posterior part",28–31,28–31,28,31,4,28 29 30 31,
