abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
Bo,Bötzinger complex,52,52,52,52,1,52,
bsc,brachium of the superior colliculus,33–35,33–35,33,35,3,33 34 35,
BV,blood vessel,21,21,21,21,1,21,
CA1,field CA1 of the hippocampus,28–36,28–36,28,36,9,28 29 30 31 32 33 34 35 36,
CA2,field CA2 of the hippocampus,28–32,28–32,28,32,5,28 29 30 31 32,
CA3,field CA3 of the hippocampus,27–34,27–34,27,34,8,27 28 29 30 31 32 33 34,
CAT,nucleus of the central acoustic tract,43–,43,43,43,1,43,"printed with a dash and no second plate; left at plate 43, nothing being printed past it; the Index of structures leaves the range open as ""43-"""
CB,cell bridges of the ventral striatum,20–22,20–22,20,22,3,20 21 22,
cbw,cerebellar white matter,43–57,43–57,43,57,15,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57,
CC,central canal,55–62,55–62,55,62,8,55 56 57 58 59 60 61 62,
cc,corpus callosum,20–30,20–30,20,30,11,20 21 22 23 24 25 26 27 28 29 30,
CeC,"central amygdaloid nucleus, capsular part",26–29,26–29,26,29,4,26 27 28 29,
CeCv,central cervical nucleus of the spinal cord,56–62,56–62,56,62,7,56 57 58 59 60 61 62,
CeL,"central amygdaloid nucleus, lateral division",27–28,27–28,27,28,2,27 28,
CeM,"central amygdaloid nucleus, medial division",25–29,25–29,25,29,5,25 26 27 28 29,
CEnt,caudomedial entothinal cortex,35–41,35–41,35,41,7,35 36 37 38 39 40 41,
CG,central gray,43,43,43,43,1,43,
cg,cingulum,17–34,17–34,17,34,18,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34,
Cg1,"cingulate cortex, area 1",10–27,10–27,10,27,18,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,
Cg2,"cingulate cortex, area 2",19–27,19–27,19,27,9,19 20 21 22 23 24 25 26 27,
CGA,"central gray, alpha part",44–46,44–46,44,46,3,44 45 46,
CGB,"central gray, beta part",44–45,44–45,44,45,2,44 45,
CGG,"central gray, gamma part",46,46,46,46,1,46,
CGO,"central gray, nucleus O",44–45,44–45,44,45,2,44 45,
CGPn,central gray of the pons,45,45,45,45,1,45,
chp,choroid plexus,24–54,24–54,24,54,31,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54,
CIC,central nucleus of the inferior colliculus,39–42,39–42,39,42,4,39 40 41 42,
cic,commissure of the inferior colliculus,42–43,42–43,42,43,2,42 43,
CL,centrolateral thalamic nucleus,28–31,28–31,28,31,4,28 29 30 31,
Cl,claustrum,12–27,12–27,12,27,16,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,
CLi,caudal linear nucleus of the raphe,37–39,37–39,37,39,3,37 38 39,
cll,commissure of the lateral lemniscus,41–42,41–42,41,42,2,41 42,
CM,central medial thalamic nucleus,26–31,26–31,26,31,6,26 27 28 29 30 31,
CnF,cuneiform nucleus,41–43,41–43,41,43,3,41 42 43,
Cop,copula of the pyramis,49–57,49–57,49,57,9,49 50 51 52 53 54 55 56 57,
cp,cerebral peduncle,28–39,28–39,28,39,12,28 29 30 31 32 33 34 35 36 37 38 39,
CPO,caudal periolivary nucleus,48,48,48,48,1,48,
CPu,caudate putamen (striatum),17–30,17–30,17,30,14,17 18 19 20 21 22 23 24 25 26 27 28 29 30,
Crus1,crus 1 of the ansiform lobule,43–54,43–54,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,
Crus2,crus 2 of the ansiform lobule,49–55,49–55,49,55,7,49 50 51 52 53 54 55,
csc,commissure of the superior colliculus,34–36,34–36,34,36,3,34 35 36,
cst,commissural stria terminalis,26–27,26–27,26,27,2,26 27,
Cu,cuneate nucleus,52–62,52–62,52,62,11,52 53 54 55 56 57 58 59 60 61 62,
cu,cuneate fasciculus,53–62,53–62,53,62,10,53 54 55 56 57 58 59 60 61 62,
CuR,"cuneate nucleus, rotundus part",55–56,55–56,55,56,2,55 56,
CVL,caudoventrolateral reticular nucleus,52–53,52–53,52,53,2,52 53,
CxA,cortex-amygdala transition zone,24–26,24–26,24,26,3,24 25 26,
DA,dorsal hypothalamic area,29–30,29–30,29,30,2,29 30,
das,dorsal acoustic stria,49–50,49–50,49,50,2,49 50,
DCDp,"dorsal cochlear nucleus, deep core",49–50,49–50,49,50,2,49 50,
DCFu,"dorsal cochlear nucleus, fusiform layer",48–50,48–50,48,50,3,48 49 50,
DCIC,dorsal cortex of the inferior colliculus,40–43,40–43,40,43,4,40 41 42 43,
DCl,dorsal part of claustrum,16–26,16–26,16,26,11,16 17 18 19 20 21 22 23 24 25 26,
DCMo,"dorsal cochlear nucleus, molecular layer",48–50,48–50,48,50,3,48 49 50,
dcs,dorsal corticospinal tract,60–62,60–62,60,62,3,60 61 62,
dcw,deep cerebral white matter,29–39,29–39,29,39,11,29 30 31 32 33 34 35 36 37 38 39,
DEn,dorsal endopiriform nucleus,12–32,12–32,12,32,21,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,
df,dorsal fornix,26–27,26–27,26,27,2,26 27,
DG,dentate gyrus,30,30,30,30,1,30,
dhc,dorsal hippocampal commissure,28–38,28–38,28,38,11,28 29 30 31 32 33 34 35 36 37 38,
DI,dysgranular insular cortex,13–27,13–27,13,27,15,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,
Dk,nucleus of Darkschewitsch,33–35,33–35,33,35,3,33 34 35,
DLG,dorsal lateral geniculate nucleus,29–33,29–33,29,33,5,29 30 31 32 33,
DLO,dorsolateral orbital cortex,9–12,9–12,9,12,4,9 10 11 12,
dlo,dorsal lateral olfactory tract,5–12,5–12,5,12,8,5 6 7 8 9 10 11 12,
DLPAG,dorsolateral periaqueductal gray,36–42,36–42,36,42,7,36 37 38 39 40 41 42,
DLPO,dorsolateral periolivary nucleus,44–47,44–47,44,47,4,44 45 46 47,
DM,dorsomedial hypothalamic nucleus,29–32,29–32,29,32,4,29 30 31 32,
DMC,"dorsomedial hypothalamic nucleus, compact part",31,31,31,31,1,31,
DMD,"dorsomedial hypothalamic nucleus, dorsal part",31,31,31,31,1,31,
DMIC,dorsomedial nucleus of the inferior colliculus,41–43,41–43,41,43,3,41 42 43,
DMPAG,dorsomedial periaqueductal gray,35–42,35–42,35,42,8,35 36 37 38 39 40 41 42,
DMSp5,dorsomedial spinal trigeminal nucleus,48–54,48–54,48,54,7,48 49 50 51 52 53 54,
DMTg,dorsomedial tegmental area,43–45,43–45,43,45,3,43 44 45,
DMV,"dorsomedial hypothalamic nucleus, ventral part",31,31,31,31,1,31,
DNLL,dorsal nucleus of the lateral lemniscus,41–42,41–42,41,42,2,41 42,
DP,dorsal peduncular cortex,12–18,12–18,12,18,7,12 13 14 15 16 17 18,
DpG,deep gray layer of the superior colliculus,33–41,33–41,33,41,9,33 34 35 36 37 38 39 40 41,
DPGi,dorsal paragigantocellular nucleus,48–51,48–51,48,51,4,48 49 50 51,
DPO,dorsal periolivary nucleus,45–47,45–47,45,47,3,45 46 47,
DpWh,deep white layer of the superior colliculus,34–41,34–41,34,41,8,34 35 36 37 38 39 40 41,
DR,dorsal raphe nucleus,37–38,37–38,37,38,2,37 38,
DRC,"dorsal raphe nucleus, caudal part",43–44,43–44,43,44,2,43 44,
DRD,"dorsal raphe nucleus, dorsal part",39–42,39–42,39,42,4,39 40 41 42,
DRL,"dorsal raphe nucleus, lateral part",39–41,39–41,39,41,3,39 40 41,
DRV,"dorsal raphe nucleus, ventral part",39–42,39–42,39,42,4,39 40 41 42,
DS,dorsal subiculum,33–36,33–36,33,36,4,33 34 35 36,
dsc,dorsal spinocerebellar tract,52–62,52–62,52,62,11,52 53 54 55 56 57 58 59 60 61 62,
DTg,dorsal tegmental nucleus,44,44,44,44,1,44,
DTgC,"dorsal tegmental nucleus, central part",43,43,43,43,1,43,
